Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene
3,86850286,86850787,chr3-86850286-86850787,Stable,Closing,Closing,23,Cd1d1,145047,,,,,,
4,109735720,109736221,chr4-109735720-109736221,Stable,Stable,Closing,26,Cdkn2c,-74844,,,,,,
9,39790646,39791147,chr9-39790646-39791147,Stable,Stable,Closing,26,AW551984,-203250,,,,,,
16,49069507,49070008,chr16-49069507-49070008,Stable,Stable,Closing,26,Cip2a,-75322,,,,,,
17,67866703,67867204,chr17-67866703-67867204,Stable,Closing,Closing,23,Arhgap28,-23990,,,,,,
8,117022408,117022909,chr8-117022408-117022909,Stable,Closing,Closing,23,Cenpn,-100678,,,,,,
1,31095728,31096229,chr1-31095728-31096229,Stable,Stable,Closing,26,Ptp4a1,-155426,,,,,,
8,116814173,116814899,chr8-116814173-116814899,Stable,Closing,Closing,23,Cenpn,106831,,,,,,
11,94881965,94882466,chr11-94881965-94882466,Stable,Stable,Closing,26,Gm11541,-187467,,,Eme1,-236969,,
15,94239058,94239559,chr15-94239058-94239559,Stable,Closing,Closing,23,Adamts20,30604,,,,,,
16,90625815,90626316,chr16-90625815-90626316,Stable,Closing,Closing,23,Hunk,-239802,,,,,,
7,110944324,110944825,chr7-110944324-110944825,Stable,Closing,Closing,23,Mrvi1,-76058,,,,,,
14,98862105,98862774,chr14-98862105-98862774,Stable,Stable,Closing,26,Bora,183448,,,Dis3,212432,,
12,71544810,71545311,chr12-71544810-71545311,Stable,Closing,Closing,23,Dact1,-234926,,,,,,
5,150713358,150713859,chr5-150713358-150713859,Stable,Closing,Closing,23,Brca2,-190728,,,,,,
13,51580542,51581043,chr13-51580542-51581043,Stable,Stable,Closing,26,Cks2,64189,,,Shc3,-149501,,
10,26070208,26070709,chr10-26070208-26070709,Stable,Stable,Closing,26,Gm4739,37080,,,,,,
1,20620613,20621114,chr1-20620613-20621114,Stable,Stable,Closing,26,Mcm3,181854,,,,,,
4,116212784,116213285,chr4-116212784-116213285,Stable,Stable,Closing,26,Rad54l,-118520,,,,,,
3,152136451,152136952,chr3-152136451-152136952,Stable,Stable,Closing,26,Fubp1,73470,,,,,,
12,71471209,71471710,chr12-71471209-71471710,Stable,Stable,Closing,26,Dact1,-161325,,,,,,
1,20677943,20678444,chr1-20677943-20678444,Stable,Stable,Closing,26,Mcm3,124524,,,,,,
15,94237935,94238582,chr15-94237935-94238582,Stable,Closing,Closing,23,Adamts20,31581,,,,,,
17,67950592,67951300,chr17-67950592-67951300,Stable,Closing,Closing,23,Arhgap28,-107879,,,,,,
8,116832177,116832678,chr8-116832177-116832678,Stable,Stable,Closing,26,Cenpn,89052,,,,,,
4,82196910,82197411,chr4-82196910-82197411,Stable,Closing,Closing,23,Nfib,92762,,,,,,
15,85162772,85163273,chr15-85162772-85163273,Stable,Closing,Closing,23,Fbln1,42676,,,,,,
13,95261274,95261775,chr13-95261274-95261775,Stable,Closing,Closing,23,Pde8b,-236820,,,,,,
13,51258973,51259474,chr13-51258973-51259474,Stable,Closing,Closing,23,Shc3,171567,,,,,,
2,120098796,120099297,chr2-120098796-120099297,Stable,Closing,Closing,23,Pla2g4b,-65379,,,,,,
15,34347877,34348378,chr15-34347877-34348378,Stable,Stable,Closing,26,Pop1,146926,,,,,,
10,90973551,90974052,chr10-90973551-90974052,Stable,Stable,Closing,26,Tmpo,173519,,,,,,
19,14588274,14588775,chr19-14588274-14588775,Stable,Stable,Closing,26,Tle4,-140124,,,,,,
11,16559025,16559649,chr11-16559025-16559649,Stable,Stable,Closing,26,Egfr,192554,,,,,,
1,31149546,31150047,chr1-31149546-31150047,Stable,Stable,Closing,26,Ptp4a1,-209244,,,,,,
6,142457986,142458487,chr6-142457986-142458487,Stable,Stable,Closing,26,Ldhb,31762,,,,,,
1,163907056,163907557,chr1-163907056-163907557,Stable,Stable,Closing,26,BC055324,38436,,,,,,
12,73476378,73476879,chr12-73476378-73476879,Stable,Stable,Closing,26,Prkch,107917,,,,,,
7,143389161,143389662,chr7-143389161-143389662,Stable,Closing,Closing,23,Cdkn1c,68677,,,,,,
9,39518491,39518992,chr9-39518491-39518992,Stable,Stable,Closing,26,AW551984,68404,,,,,,
12,36262379,36262880,chr12-36262379-36262880,Stable,Stable,Closing,26,Bzw2,-170544,,,,,,
13,92365251,92365752,chr13-92365251-92365752,Stable,Stable,Closing,26,Dhfr,-10525,,,,,,
6,5288016,5288517,chr6-5288016-5288517,Stable,Stable,Closing,26,Asb4,94869,,,,,,
4,82250086,82250587,chr4-82250086-82250587,Stable,Stable,Closing,26,Nfib,39586,,,,,,
11,28692854,28693355,chr11-28692854-28693355,Stable,Stable,Closing,26,Efemp1,159849,,,,,,
10,4325491,4325992,chr10-4325491-4325992,Stable,Closing,Closing,23,Akap12,-59111,,,,,,
17,71355481,71355982,chr17-71355481-71355982,Stable,Stable,Closing,26,Ndc80,140118,,,,,,
15,94214336,94214837,chr15-94214336-94214837,Stable,Stable,Closing,26,Adamts20,55326,,,,,,
5,8310825,8311326,chr5-8310825-8311326,Stable,Stable,Closing,26,Dbf4,85647,,,,,,
1,90650753,90651254,chr1-90650753-90651254,Stable,Stable,Closing,26,Col6a3,114669,,,,,,
2,144287083,144287584,chr2-144287083-144287584,Stable,Stable,Closing,26,Snx5,-36960,,,,,,
5,21496179,21497476,chr5-21496179-21497476,Stable,Closing,Closing,23,Lrrc17,46083,,,,,,
14,67434221,67434881,chr14-67434221-67434881,Stable,Stable,Closing,26,Ebf2,-200929,,,Cdca2,241450,,
3,82063227,82063728,chr3-82063227-82063728,Stable,Stable,Closing,26,Gucy1a1,28699,,,Gucy1b1,-31221,,
19,14486945,14487446,chr19-14486945-14487446,Stable,Stable,Closing,26,Tle4,-38795,,,,,,
1,139232579,139233080,chr1-139232579-139233080,Stable,Stable,Closing,26,Aspm,221692,,,,,,
11,90121877,90122490,chr11-90121877-90122490,Stable,Stable,Closing,26,Mmd,126966,,,,,,
14,67242061,67242562,chr14-67242061-67242562,Stable,Closing,Closing,23,Ebf2,-8769,,,,,,
7,51879014,51879515,chr7-51879014-51879515,Stable,Closing,Closing,23,Gas2,-16999,,,,,,
11,43483271,43483772,chr11-43483271-43483772,Stable,Stable,Closing,26,Ccnjl,45012,,,,,,
2,150778042,150778543,chr2-150778042-150778543,Stable,Closing,Closing,23,Gins1,126857,,,,,,
4,148490487,148490988,chr4-148490487-148490988,Stable,Closing,Closing,23,Tardbp,121394,,,,,,
18,4981542,4982043,chr18-4981542-4982043,Stable,Closing,Closing,23,Svil,-61002,,,,,,
3,49814025,49814796,chr3-49814025-49814796,Stable,Stable,Closing,26,Pcdh18,-70729,,,,,,
1,156781055,156781556,chr1-156781055-156781556,Stable,Stable,Closing,26,Angptl1,57006,,,,,,
2,118532885,118533386,chr2-118532885-118533386,Stable,Stable,Closing,26,Bub1b,64825,,,,,,
12,38843779,38844280,chr12-38843779-38844280,Stable,Stable,Closing,26,Etv1,-64399,,,,,,
1,51911259,51911760,chr1-51911259-51911760,Stable,Closing,Closing,23,Myo1b,-161494,,,,,,
9,39603262,39604524,chr9-39603262-39604524,Stable,Stable,Closing,26,AW551984,-15866,,,,,,
12,117751438,117751939,chr12-117751438-117751939,Stable,Stable,Closing,26,Cdca7l,52350,,,,,,
12,75995051,75995552,chr12-75995051-75995552,Stable,Stable,Closing,26,Syne2,-176917,,,,,,
3,49867757,49868258,chr3-49867757-49868258,Stable,Stable,Closing,26,Pcdh18,-124461,,,,,,
6,4994019,4995221,chr6-4994019-4995221,Stable,Stable,Closing,26,Peg10,-246713,,,,,,
17,12631711,12632212,chr17-12631711-12632212,Stable,Stable,Closing,26,Igf2r,50194,,,,,,
11,16627644,16628243,chr11-16627644-16628243,Stable,Stable,Closing,26,Egfr,123960,,,,,,
19,10012763,10013264,chr19-10012763-10013264,Stable,Closing,Closing,23,Incenp,-140467,,,,,,
16,90629063,90629564,chr16-90629063-90629564,Stable,Stable,Closing,26,Hunk,-243050,,,,,,
10,91230352,91230853,chr10-91230352-91230853,Stable,Stable,Closing,26,Tmpo,-82781,,,,,,
11,28868871,28869506,chr11-28868871-28869506,Stable,Stable,Closing,26,Efemp1,-15667,,,,,,
3,49908500,49909357,chr3-49908500-49909357,Stable,Stable,Closing,26,Pcdh18,-165204,,,,,,
3,49865921,49866668,chr3-49865921-49866668,Stable,Stable,Closing,26,Pcdh18,-122625,,,,,,
9,104131330,104131831,chr9-104131330-104131831,Stable,Closing,Closing,23,Ackr4,-47173,,,,,,
11,16895519,16896020,chr11-16895519-16896020,Stable,Closing,Closing,23,Egfr,-143316,,,,,,
6,124693291,124693792,chr6-124693291-124693792,Stable,Stable,Closing,26,Cdca3,135755,,,,,,
1,20867439,20867940,chr1-20867439-20867940,Stable,Stable,Closing,26,Mcm3,-64471,,,,,,
11,106930380,106931036,chr11-106930380-106931036,Stable,Stable,Closing,26,Kpna2,57593,,,,,,
16,23020538,23021200,chr16-23020538-23021200,Stable,Stable,Closing,26,Eif4a2,86244,,,Rfc4,92743,,
2,152729571,152730072,chr2-152729571-152730072,Stable,Closing,Closing,23,Tpx2,117892,,,,,,
2,69244859,69245360,chr2-69244859-69245360,Stable,Stable,Closing,26,Spc25,-50964,,,,,,
1,57861916,57862417,chr1-57861916-57862417,Stable,Stable,Closing,26,Sgo2a,133554,,,,,,
1,156838580,156839081,chr1-156838580-156839081,Stable,Stable,Closing,26,Angptl1,-18,,,,,,
16,56298242,56298743,chr16-56298242-56298743,Stable,Stable,Closing,26,Abi3bp,179135,,,,,,
8,77481710,77482211,chr8-77481710-77482211,Stable,Closing,Closing,23,Ednra,180820,,,,,,
11,68637944,68638445,chr11-68637944-68638445,Stable,Closing,Closing,23,Myh10,53114,,,,,,
6,5277800,5278301,chr6-5277800-5278301,Stable,Closing,Closing,23,Asb4,105085,,,,,,
1,189430414,189430915,chr1-189430414-189430915,Stable,Stable,Closing,26,Cenpf,209691,,,,,,
9,18385686,18386187,chr9-18385686-18386187,Stable,Stable,Closing,26,Zfp558,69388,,,,,,
8,31002014,31002717,chr8-31002014-31002717,Stable,Stable,Closing,26,Rnf122,109103,,,,,,
1,189440512,189441013,chr1-189440512-189441013,Stable,Stable,Closing,26,Cenpf,199593,,,,,,
16,49164297,49164924,chr16-49164297-49164924,Stable,Stable,Closing,26,Cip2a,-170112,,,,,,
7,51772420,51772921,chr7-51772420-51772921,Stable,Stable,Closing,26,Gas2,89094,,,,,,
6,115764093,115764594,chr6-115764093-115764594,Stable,Stable,Closing,26,Cand2,9944,,,,,,
8,57328421,57328922,chr8-57328421-57328922,Stable,Closing,Closing,23,Hmgb2,182985,,,,,,
6,49217782,49218283,chr6-49217782-49218283,Stable,Stable,Closing,26,Igf2bp3,-132559,,,,,,
8,11405731,11406232,chr8-11405731-11406232,Stable,Stable,Closing,26,Ankrd10,205351,,,,,,
11,119215150,119215651,chr11-119215150-119215651,Stable,Closing,Closing,23,Cbx2,-192188,,,,,,
13,23555965,23556466,chr13-23555965-23556466,Stable,Stable,Closing,26,Hist1h2bb,190268,,,Hist1h1a,207200,,
4,81082381,81082882,chr4-81082381-81082882,Stable,Closing,Closing,23,Mpdz,195618,,,,,,
19,14390079,14390580,chr19-14390079-14390580,Stable,Stable,Closing,26,Tle4,57570,,,,,,
15,38950398,38951643,chr15-38950398-38951643,Stable,Closing,Closing,23,Cthrc1,125289,,,Rims2,246618,,
3,82275544,82276045,chr3-82275544-82276045,Stable,Stable,Closing,26,Gucy1a1,-183117,,,Gucy1b1,-243538,,
17,21845543,21846044,chr17-21845543-21846044,Stable,Stable,Closing,26,Zfp820,-28658,,,,,,
17,69192676,69193177,chr17-69192676-69193177,Stable,Closing,Closing,23,Epb41l3,-116993,,,,,,
1,175668881,175669382,chr1-175668881-175669382,Stable,Stable,Closing,26,Exo1,211199,,,,,,
10,4339045,4339546,chr10-4339045-4339546,Stable,Closing,Closing,23,Akap12,-72665,,,,,,
2,157801210,157801711,chr2-157801210-157801711,Stable,Stable,Closing,26,Nnat,-241132,,,,,,
10,37241816,37242317,chr10-37241816-37242317,Stable,Stable,Closing,26,Marcks,-108441,,,,,,
7,51818397,51818898,chr7-51818397-51818898,Stable,Stable,Closing,26,Gas2,43117,,,,,,
1,172016871,172017511,chr1-172016871-172017511,Stable,Stable,Closing,26,Vangl2,-15911,,,,,,
6,47363927,47364428,chr6-47363927-47364428,Stable,Stable,Closing,26,Ezh2,165711,,,,,,
12,37108307,37109552,chr12-37108307-37109552,Stable,Stable,Closing,26,Meox2,0,,,,,,
1,51996734,51997390,chr1-51996734-51997390,Stable,Stable,Closing,26,Myo1b,-246969,,,,,,
13,73891867,73893220,chr13-73891867-73893220,Stable,Stable,Closing,26,Trip13,18127,,,Cep72,143280,Slc12a7,-158773
5,69792582,69793083,chr5-69792582-69793083,Stable,Stable,Closing,26,Guf1,-235659,,,,,,
1,57890227,57890915,chr1-57890227-57890915,Stable,Stable,Closing,26,Sgo2a,105056,,,,,,
8,11411713,11412656,chr8-11411713-11412656,Stable,Stable,Closing,26,Ankrd10,198927,,,,,,
8,126833674,126834175,chr8-126833674-126834175,Stable,Stable,Closing,26,Pard3,229718,,,,,,
5,50122822,50123498,chr5-50122822-50123498,Stable,Stable,Closing,26,Adgra3,-162866,,,,,,
4,118553076,118553577,chr4-118553076-118553577,Stable,Stable,Closing,26,Cdc20,-120175,,,,,,
11,73236182,73236683,chr11-73236182-73236683,Stable,Stable,Closing,26,Haspin,-100697,,,,,,
11,68623432,68623933,chr11-68623432-68623933,Stable,Stable,Closing,26,Myh10,67626,,,,,,
15,38938520,38939021,chr15-38938520-38939021,Stable,Stable,Closing,26,Cthrc1,137911,,,,,,
17,12741086,12741712,chr17-12741086-12741712,Stable,Stable,Closing,26,Igf2r,-58680,,,Acat2,201178,,
10,67979405,67979906,chr10-67979405-67979906,Stable,Stable,Closing,26,Rtkn2,0,,,,,,
9,84032783,84033284,chr9-84032783-84033284,Stable,Stable,Closing,26,Ttk,-198094,,,,,,
2,131209969,131210470,chr2-131209969-131210470,Stable,Stable,Closing,26,Hspa12b,-82689,,,,,,
3,148989166,148989894,chr3-148989166-148989894,Stable,Stable,Closing,26,Adgrl2,-173583,,,,,,
17,35813076,35813577,chr17-35813076-35813577,Stable,Stable,Opening,25,Tubb5,20344,,,Mdc1,27938,,
11,117941742,117942243,chr11-117941742-117942243,Stable,Stable,Opening,25,Birc5,-92491,,,Tk1,-126216,,
13,55464715,55465653,chr13-55464715-55465653,Stable,Stable,Opening,25,Mxd3,-139547,,,,,,
16,30188955,30189456,chr16-30188955-30189456,Stable,Stable,Opening,25,Hes1,-124571,,,,,,
2,118353489,118354510,chr2-118353489-118354510,Stable,Stable,Opening,25,Bub1b,243701,,,,,,
8,84191934,84192435,chr8-84191934-84192435,Stable,Stable,Opening,25,Palm3,-170463,,,Asf1b,-236427,,
14,118658155,118658656,chr14-118658155-118658656,Stable,Stable,Opening,25,Dzip1,216864,,,,,,
18,4715981,4716669,chr18-4715981-4716669,Stable,Stable,Opening,25,Svil,203871,,,,,,
1,58359258,58359972,chr1-58359258-58359972,Stable,Stable,Opening,25,Clk1,50217,,,,,,
1,88474473,88474974,chr1-88474473-88474974,Stable,Stable,Opening,25,Hjurp,-212002,,,,,,
9,21804201,21804702,chr9-21804201-21804702,Stable,Stable,Opening,25,Spc24,-48759,,,,,,
12,73386743,73387244,chr12-73386743-73387244,Stable,Stable,Opening,25,Prkch,197552,,,,,,
17,35699808,35700309,chr17-35699808-35700309,Stable,Stable,Opening,25,Tubb5,133612,,,Mdc1,141206,,
6,115991581,115992082,chr6-115991581-115992082,Stable,Stable,Opening,25,Cand2,-217043,,,,,,
1,93183726,93184584,chr1-93183726-93184584,Stable,Stable,Opening,25,Pask,124186,,,,,,
3,36540700,36541201,chr3-36540700-36541201,Stable,Stable,Opening,25,Ccna2,23664,,,,,,
6,49096731,49097389,chr6-49096731-49097389,Stable,Stable,Opening,25,Igf2bp3,-11508,,,,,,
17,33783299,33783800,chr17-33783299-33783800,Stable,Stable,Opening,25,Hnrnpm,-137066,,,,,,
15,84975647,84976148,chr15-84975647-84976148,Stable,Stable,Opening,25,Fbln1,229801,,,,,,
10,80075211,80075712,chr10-80075211-80075712,Stable,Stable,Opening,25,Pwwp3a,150722,,,,,,
17,87459449,87460270,chr17-87459449-87460270,Stable,Stable,Opening,25,Msh2,212060,,,,,,
16,95945528,95946029,chr16-95945528-95946029,Stable,Stable,Opening,25,Hmgn1,174589,,,,,,
1,191216226,191216727,chr1-191216226-191216727,Stable,Stable,Opening,25,Nsl1,-153214,,,,,,
1,191527802,191528475,chr1-191527802-191528475,Stable,Stable,Opening,25,Dtl,8881,,,,,,
9,20760723,20761224,chr9-20760723-20761224,Stable,Stable,Opening,25,Dnmt1,145985,,,,,,
7,80092321,80092822,chr7-80092321-80092822,Stable,Stable,Opening,25,Prc1,201628,,,,,,
2,92772480,92772981,chr2-92772480-92772981,Stable,Stable,Opening,25,Syt13,142117,,,,,,
14,47533446,47533947,chr14-47533446-47533947,Stable,Stable,Opening,25,Dlgap5,-145667,,,,,,
14,57980137,57980638,chr14-57980137-57980638,Stable,Stable,Opening,25,Ska3,-173576,,,,,,
9,21134955,21135456,chr9-21134955-21135456,Stable,Stable,Opening,25,Dnmt1,-227746,,,Ilf3,232415,,
7,135605125,135605794,chr7-135605125-135605794,Stable,Stable,Opening,25,Mki67,83990,,,,,,
17,33526414,33526915,chr17-33526414-33526915,Stable,Stable,Opening,25,Hnrnpm,119318,,,Zfp101,-165907,,
15,38932838,38933567,chr15-38932838-38933567,Stable,Stable,Opening,25,Cthrc1,143365,,,,,,
12,81033639,81034140,chr12-81033639-81034140,Stable,Stable,Opening,25,Srsf5,-88135,,,,,,
11,90381910,90382411,chr11-90381910-90382411,Stable,Stable,Opening,25,Mmd,-132454,,,,,,
14,56689647,56690148,chr14-56689647-56690148,Stable,Stable,Opening,25,Cenpj,-162886,,,,,,
4,86482631,86483588,chr4-86482631-86483588,Stable,Stable,Opening,25,Haus6,95267,,,,,,
6,6112790,6113657,chr6-6112790-6113657,Stable,Stable,Opening,25,Slc25a13,-71572,,,,,,
8,126849686,126850187,chr8-126849686-126850187,Stable,Stable,Opening,25,Pard3,213706,,,,,,
15,57906605,57907106,chr15-57906605-57907106,Stable,Stable,Opening,25,Atad2,186938,,,,,,
12,73790533,73791034,chr12-73790533-73791034,Stable,Stable,Opening,25,Prkch,-205737,,,,,,
11,11824371,11824872,chr11-11824371-11824872,Stable,Stable,Opening,25,Grb10,105636,,,,,,
14,57716572,57717073,chr14-57716572-57717073,Stable,Stable,Opening,25,Ska3,89488,,,,,,
1,118368788,118369424,chr1-118368788-118369424,Stable,Stable,Opening,25,Clasp1,19634,,,,,,
7,28576546,28577047,chr7-28576546-28577047,Stable,Stable,Opening,25,Plekhg2,-216942,,,,,,
15,96933378,96933879,chr15-96933378-96933879,Stable,Stable,Opening,25,Slc38a4,60941,,,,,,
3,84022597,84023226,chr3-84022597-84023226,Stable,Stable,Opening,25,Mnd1,64707,,,,,,
19,9954431,9954932,chr19-9954431-9954932,Stable,Stable,Opening,25,Incenp,-82135,,,,,,
17,37061429,37062311,chr17-37061429-37062311,Stable,Stable,Opening,25,Zfp57,-60266,,,,,,
19,5877842,5878343,chr19-5877842-5878343,Stable,Stable,Opening,25,Cdca5,206640,,,,,,
2,127722361,127722862,chr2-127722361-127722862,Stable,Stable,Opening,25,Bub1,78260,,,,,,
15,73870124,73870863,chr15-73870124-73870863,Stable,Stable,Opening,25,Gm15387,222823,,,,,,
7,143367992,143368684,chr7-143367992-143368684,Stable,Stable,Opening,25,Cdkn1c,89655,,,,,,
2,23034631,23035351,chr2-23034631-23035351,Stable,Stable,Opening,25,Mastl,80255,,,,,,
19,6297580,6298081,chr19-6297580-6298081,Stable,Stable,Opening,25,Cdca5,-212597,,,,,,
8,126852953,126853454,chr8-126852953-126853454,Stable,Stable,Opening,25,Pard3,210439,,,,,,
13,103977582,103978886,chr13-103977582-103978886,Stable,Stable,Opening,25,Erbin,-158795,,,Cenpk,249725,,
8,18726569,18727183,chr8-18726569-18727183,Stable,Stable,Opening,25,Angpt2,-36306,,,,,,
5,29842612,29843113,chr5-29842612-29843113,Stable,Stable,Opening,25,Tyms,215089,,,,,,
15,101320600,101321101,chr15-101320600-101321101,Stable,Stable,Opening,25,Nr4a1,-66331,,,,,,
14,47634278,47634779,chr14-47634278-47634779,Stable,Stable,Opening,25,Dlgap5,-246499,,,,,,
15,101368459,101368960,chr15-101368459-101368960,Stable,Stable,Opening,25,Nr4a1,-114190,,,,,,
4,155129947,155130448,chr4-155129947-155130448,Stable,Stable,Opening,25,Hes5,-169024,,,,,,
1,169671874,169672724,chr1-169671874-169672724,Stable,Stable,Opening,25,Nuf2,-173940,,,,,,
12,24734785,24735286,chr12-24734785-24735286,Stable,Stable,Opening,25,Rrm2,-26544,,,,,,
9,22385849,22386516,chr9-22385849-22386516,Stable,Stable,Opening,25,Anln,-53837,,,Zfp599,-138419,,
7,27231722,27232223,chr7-27231722-27232223,Stable,Stable,Opening,25,Shkbp1,109910,,,,,,
4,116371592,116372093,chr4-116371592-116372093,Stable,Stable,Opening,25,Nasp,228959,,,,,,
3,36635461,36635962,chr3-36635461-36635962,Stable,Stable,Opening,25,Ccna2,-70596,,,,,,
8,11387199,11387700,chr8-11387199-11387700,Stable,Stable,Opening,25,Ankrd10,223883,,,,,,
13,89889006,89889507,chr13-89889006-89889507,Stable,Stable,Opening,25,Vcan,-233694,,,,,,
9,103513866,103514367,chr9-103513866-103514367,Stable,Stable,Opening,25,Topbp1,-208651,,,,,,
16,30513592,30514093,chr16-30513592-30514093,Stable,Stable,Opening,25,Tmem44,-1737,,,,,,
4,134495152,134495653,chr4-134495152-134495653,Stable,Stable,Opening,25,Aunip,15346,,,,,,
11,16809141,16809642,chr11-16809141-16809642,Stable,Stable,Opening,25,Egfr,-56938,,,,,,
17,70797329,70797830,chr17-70797329-70797830,Stable,Stable,Opening,25,Myl12a,195826,,,,,,
6,38081667,38082168,chr6-38081667-38082168,Stable,Stable,Opening,25,Zc3hav1l,205228,,,,,,
14,67769913,67770414,chr14-67769913-67770414,Stable,Stable,Opening,25,Cdca2,-93582,,,,,,
19,5848327,5848828,chr19-5848327-5848828,Stable,Stable,Opening,25,Cdca5,236155,,,,,,
4,44281609,44282110,chr4-44281609-44282110,Stable,Stable,Opening,25,Melk,18766,,,,,,
18,67577588,67578089,chr18-67577588-67578089,Stable,Stable,Opening,25,Cep192,222018,,,,,,
17,70836725,70837226,chr17-70836725-70837226,Stable,Stable,Opening,25,Myl12a,156430,,,,,,
17,71059177,71059901,chr17-71059177-71059901,Stable,Opening,Opening,19,Myl12a,-65521,,,,,,
13,89828395,89828896,chr13-89828395-89828896,Stable,Stable,Opening,25,Vcan,-173083,,,,,,
