Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,
13,38310203,38310704,chr13-38310203-38310704,Stable,Closing,Closing,23,Bmp6,34403,,,,,,,,
5,36625466,36625967,chr5-36625466-36625967,Stable,Closing,Closing,23,Ppp2r2c,242546,,,,,,,,
10,87752006,87752694,chr10-87752006-87752694,Stable,Closing,Closing,23,Igf1,105571,,,,,,,,
8,60864869,60865370,chr8-60864869-60865370,Stable,Closing,Closing,23,Mfap3l,-232042,,,,,,,,
13,107964541,107965042,chr13-107964541-107965042,Stable,Closing,Closing,23,Elovl7,249362,,,,,,,,
9,15650477,15650978,chr9-15650477-15650978,Stable,Closing,Closing,23,Deup1,-90613,,,,,,,,
4,65078275,65078776,chr4-65078275-65078776,Stable,Closing,Closing,23,Pappa,45398,,,,,,,,
7,118481083,118481584,chr7-118481083-118481584,Stable,Closing,Closing,23,Gde1,206961,,,,,,,,
5,21506876,21507377,chr5-21506876-21507377,Stable,Closing,Closing,23,Ccdc146,-213915,,,,,,,,
1,17450644,17451145,chr1-17450644-17451145,Stable,Closing,Closing,23,Pi15,150756,,,,,,,,
3,36540731,36541232,chr3-36540731-36541232,Stable,Closing,Closing,23,Trpc3,79250,,,,,,,,
13,63140743,63141244,chr13-63140743-63141244,Stable,Closing,Closing,23,Aopep,-175850,,,,,,,,
4,103005530,103006031,chr4-103005530-103006031,Stable,Closing,Closing,23,Wdr78,32034,,,,,,,,
6,88774043,88774544,chr6-88774043-88774544,Stable,Closing,Closing,23,Mgll,-49631,,,,,,,,
1,152550750,152551251,chr1-152550750-152551251,Stable,Closing,Closing,23,Rgl1,-33990,,,,,,,,
4,34639783,34640284,chr4-34639783-34640284,Stable,Closing,Closing,23,Cfap206,48275,,,,,,,,
6,119084473,119084974,chr6-119084473-119084974,Stable,Closing,Closing,23,Lrtm2,230159,,,,,,,,
5,66800082,66800583,chr5-66800082-66800583,Stable,Closing,Closing,23,Limch1,-54255,,,,,,,,
1,164419185,164419844,chr1-164419185-164419844,Stable,Closing,Closing,23,Atp1b1,17265,,,,,,,,
1,164237944,164238445,chr1-164237944-164238445,Stable,Closing,Closing,23,Atp1b1,198664,,,,,,,,
1,164273643,164274144,chr1-164273643-164274144,Stable,Closing,Closing,23,Atp1b1,162965,,,,,,,,
15,66687573,66688074,chr15-66687573-66688074,Stable,Closing,Closing,23,Sla,92745,,,Phf20l1,-110013,Ccn4,203246,,
10,86270287,86270788,chr10-86270287-86270788,Stable,Closing,Closing,23,Timp3,29584,,,,,,,,
7,17003303,17003804,chr7-17003303-17003804,Stable,Closing,Closing,23,Gm42372,-20217,,,,,,,,
7,65909586,65910087,chr7-65909586-65910087,Stable,Closing,Closing,23,Pcsk6,-47852,,,,,,,,
5,66846129,66846630,chr5-66846129-66846630,Stable,Closing,Closing,23,Limch1,-100302,,,,,,,,
12,66393138,66393639,chr12-66393138-66393639,Stable,Stable,Closing,26,Mdga2,72421,,,,,,,,
17,7621190,7621691,chr17-7621190-7621691,Stable,Closing,Closing,23,Fndc1,116878,,,,,,,,
6,142188453,142188954,chr6-142188453-142188954,Stable,Closing,Closing,23,Slco1a5,45273,,,,,,,,
13,20288303,20288804,chr13-20288303-20288804,Stable,Closing,Closing,23,Elmo1,-197707,,,,,,,,
7,118758598,118759099,chr7-118758598-118759099,Stable,Closing,Closing,23,Gde1,-70053,,,,,,,,
2,107314573,107315074,chr2-107314573-107315074,Stable,Closing,Closing,23,Kcna4,-23934,,,,,,,,
1,17568545,17569046,chr1-17568545-17569046,Stable,Closing,Closing,23,Pi15,32855,,,,,,,,
11,23186461,23186962,chr11-23186461-23186962,Stable,Closing,Closing,23,Fam161a,-178930,,,,,,,,
7,131053190,131053691,chr7-131053190-131053691,Stable,Closing,Closing,23,Htra1,-117079,,,,,,,,
10,123236447,123236948,chr10-123236447-123236948,Stable,Closing,Closing,23,Tafa2,27048,,,,,,,,
3,103988011,103988512,chr3-103988011-103988512,Stable,Closing,Closing,23,Hipk1,-248196,,,,,,,,
6,72882889,72883390,chr6-72882889-72883390,Stable,Closing,Closing,23,Dnah6,134216,,,,,,,,
9,88170458,88170959,chr9-88170458-88170959,Stable,Closing,Closing,23,Nt5e,156238,,,,,,,,
3,28130915,28131416,chr3-28130915-28131416,Stable,Closing,Closing,23,Tnik,131798,,,,,,,,
14,15489312,15490045,chr14-15489312-15490045,Stable,Closing,Closing,23,Lrrc3b,-131797,,,,,,,,
5,75990178,75990679,chr5-75990178-75990679,Stable,Closing,Closing,23,Kdr,-57351,,,Clock,219189,,,,
14,15310827,15311328,chr14-15310827-15311328,Stable,Closing,Closing,23,Lrrc3b,46187,,,,,,,,
3,122689760,122690261,chr3-122689760-122690261,Stable,Closing,Closing,23,Usp53,241232,,,,,,,,
3,97934769,97935270,chr3-97934769-97935270,Stable,Closing,Closing,23,Pde4dip,-244945,,,,,,,,
11,68072423,68072924,chr11-68072423-68072924,Stable,Closing,Closing,23,Cfap52,-147617,,,,,,,,
17,45791895,45792623,chr17-45791895-45792623,Stable,Closing,Closing,23,Slc29a1,-206695,,,,,,,,
2,110528010,110528511,chr2-110528010-110528511,Stable,Closing,Closing,23,Fibin,-167093,,,,,,,,
5,76045320,76045821,chr5-76045320-76045821,Stable,Closing,Closing,23,Kdr,-112493,,,Clock,164047,,,,
6,8802600,8803101,chr6-8802600-8803101,Stable,Closing,Closing,23,Nxph1,145330,,,,,,,,
6,87231241,87231742,chr6-87231241-87231742,Stable,Closing,Closing,23,Antxr1,-97388,,,,,,,,
17,71997629,71998130,chr17-71997629-71998130,Stable,Closing,Closing,23,Clip4,-229156,,,,,,,,
13,38397075,38397576,chr13-38397075-38397576,Stable,Closing,Closing,23,Bmp6,-51968,,,,,,,,
13,38159149,38159650,chr13-38159149-38159650,Stable,Closing,Closing,23,Bmp6,185457,,,,,,,,
12,74144406,74144907,chr12-74144406-74144907,Stable,Closing,Closing,23,1700086L19Rik,139335,,,,,,,,
2,107318725,107319226,chr2-107318725-107319226,Stable,Closing,Closing,23,Kcna4,-28086,,,,,,,,
2,173801328,173801829,chr2-173801328-173801829,Stable,Closing,Closing,23,Rab22a,-141568,,,,,,,,
2,163663876,163664377,chr2-163663876-163664377,Stable,Closing,Closing,23,Ccn5,156484,,,,,,,,
5,104392943,104393444,chr5-104392943-104393444,Stable,Closing,Closing,23,Spp1,41674,,,Dmp1,-190330,,,,
10,93799840,93800341,chr10-93799840-93800341,Stable,Closing,Closing,23,Ntn4,-159159,,,,,,,,
5,17719950,17720451,chr5-17719950-17720451,Stable,Closing,Closing,23,Cd36,61239,,,,,,,,
2,3367174,3367675,chr2-3367174-3367675,Stable,Closing,Closing,23,Meig1,41368,,,,,,,,
10,86640092,86640720,chr10-86640092-86640720,Stable,Closing,Closing,23,Nt5dc3,138285,,,,,,,,
3,60813381,60813882,chr3-60813381-60813882,Stable,Closing,Closing,23,P2ry1,188913,,,,,,,,
14,79248517,79249018,chr14-79248517-79249018,Stable,Closing,Closing,23,Rgcc,39738,,,,,,,,
13,32964059,32964560,chr13-32964059-32964560,Stable,Closing,Closing,23,Serpinb1b,114015,,,,,,,,
2,173691258,173691759,chr2-173691258-173691759,Stable,Closing,Closing,23,Rab22a,-31498,,,,,,,,
9,42052821,42053322,chr9-42052821-42053322,Stable,Closing,Closing,23,Sorl1,-88101,,,,,,,,
7,90218098,90218599,chr7-90218098-90218599,Stable,Closing,Closing,23,Sytl2,83653,,,,,,,,
10,86791776,86792277,chr10-86791776-86792277,Stable,Closing,Closing,23,Nt5dc3,-12771,,,,,,,,
4,81077714,81078215,chr4-81077714-81078215,Stable,Closing,Closing,23,Lurap1l,-167068,,,,,,,,
6,88114401,88114902,chr6-88114401-88114902,Stable,Closing,Closing,23,Copg1,-226587,,,,,,,,
11,50725676,50726177,chr11-50725676-50726177,Stable,Closing,Closing,23,Adamts2,-123592,,,,,,,,
6,126755947,126756448,chr6-126755947-126756448,Stable,Closing,Closing,23,Kcna5,-223396,,,,,,,,
4,126155848,126156349,chr4-126155848-126156349,Stable,Closing,Closing,23,Col8a2,130444,,,,,,,,
6,77342299,77342800,chr6-77342299-77342800,Stable,Closing,Closing,23,Lrrtm1,-99610,,,,,,,,
6,72868661,72869162,chr6-72868661-72869162,Stable,Closing,Closing,23,Dnah6,148444,,,,,,,,
19,58850657,58851158,chr19-58850657-58851158,Stable,Closing,Closing,23,Shtn1,122198,,,,,,,,
19,23329345,23329846,chr19-23329345-23329846,Stable,Closing,Closing,23,Klf9,-188119,,,,,,,,
9,95771354,95771855,chr9-95771354-95771855,Stable,Closing,Closing,23,Trpc1,-66272,,,Pcolce2,-133753,Paqr9,-211697,,
3,113954444,113954945,chr3-113954444-113954945,Stable,Closing,Closing,23,Col11a1,75595,,,,,,,,
3,67505223,67505724,chr3-67505223-67505724,Stable,Closing,Closing,23,Lxn,-47225,,,Mlf1,-131126,,,,
15,54440762,54441263,chr15-54440762-54441263,Stable,Closing,Closing,23,Mal2,129929,,,,,,,,
10,40727000,40727501,chr10-40727000-40727501,Stable,Closing,Closing,23,Ddo,-96989,,,,,,,,
13,114420150,114420651,chr13-114420150-114420651,Stable,Closing,Closing,23,Fst,31639,,,,,,,,
1,105177704,105178205,chr1-105177704-105178205,Stable,Closing,Closing,23,Rnf152,98709,,,,,,,,
6,5277781,5278282,chr6-5277781-5278282,Stable,Closing,Closing,23,Pon2,-13634,,,,,,,,
1,17483552,17484053,chr1-17483552-17484053,Stable,Closing,Closing,23,Pi15,117848,,,,,,,,
19,47699716,47700217,chr19-47699716-47700217,Stable,Closing,Closing,23,Cfap43,36640,,,,,,,,
5,17689366,17690023,chr5-17689366-17690023,Stable,Closing,Closing,23,Cd36,91667,,,,,,,,
11,41903472,41903973,chr11-41903472-41903973,Stable,Closing,Closing,23,Gabrg2,6230,,,,,,,,
1,187226418,187226919,chr1-187226418-187226919,Stable,Closing,Closing,23,Spata17,-181770,,,,,,,,
7,113903299,113903800,chr7-113903299-113903800,Stable,Closing,Closing,23,Spon1,-137301,,,,,,,,
1,132346114,132346771,chr1-132346114-132346771,Stable,Closing,Closing,23,Klhdc8a,-47488,,,Lemd1,-154683,,,,
14,79065560,79066061,chr14-79065560-79066061,Stable,Closing,Closing,23,Rgcc,222695,,,,,,,,
3,105853743,105854244,chr3-105853743-105854244,Stable,Closing,Closing,23,Ovgp1,119467,,,Pifo,142713,,,,
3,66024294,66024795,chr3-66024294-66024795,Stable,Closing,Closing,23,Ptx3,195115,,,,,,,,
14,65800836,65801337,chr14-65800836-65801337,Stable,Closing,Closing,23,Scara5,-134433,,,Clu,167146,,,,
15,54386836,54387337,chr15-54386836-54387337,Stable,Closing,Closing,23,Mal2,183855,,,,,,,,
6,144834501,144835002,chr6-144834501-144835002,Stable,Closing,Closing,23,Bcat1,158833,,,,,,,,
15,54809520,54810021,chr15-54809520-54810021,Stable,Closing,Closing,23,Mal2,-238328,,,,,,,,
1,123229372,123229873,chr1-123229372-123229873,Stable,Closing,Closing,23,Dpp10,91598,,,,,,,,
9,4505041,4505542,chr9-4505041-4505542,Stable,Closing,Closing,23,Gria4,-87145,,,,,,,,
15,77920314,77920815,chr15-77920314-77920815,Stable,Closing,Closing,23,Cacng2,70933,,,,,,,,
6,4813142,4813643,chr6-4813142-4813643,Stable,Closing,Closing,23,Sgce,-138792,,,,,,,,
6,61022634,61023135,chr6-61022634-61023135,Stable,Closing,Closing,23,Ccser1,157189,,,,,,,,
3,34037412,34037913,chr3-34037412-34037913,Stable,Closing,Closing,23,Ttc14,-237580,,,,,,,,
5,5648784,5649285,chr5-5648784-5649285,Stable,Closing,Closing,23,Cldn12,-159247,,,,,,,,
13,23490608,23491109,chr13-23490608-23491109,Stable,Closing,Closing,23,Hist1h2be,92561,,,Hist1h2bc,193090,Hist1h1c,247699,,
14,20298099,20298600,chr14-20298099-20298600,Stable,Closing,Closing,23,Cfap70,95593,,,,,,,,
1,185472306,185472807,chr1-185472306-185472807,Stable,Closing,Closing,23,Bpnt1,-140157,,,,,,,,
16,44313280,44313781,chr16-44313280-44313781,Stable,Stable,Closing,26,Cfap44,81015,,,,,,,,
7,89540888,89541389,chr7-89540888-89541389,Stable,Closing,Closing,23,Prss23,-33105,,,Me3,91003,,,,
19,12632964,12633465,chr19-12632964-12633465,Stable,Closing,Closing,23,Cntf,130195,,,,,,,,
15,27418652,27419153,chr15-27418652-27419153,Stable,Closing,Closing,23,Ank,47524,,,,,,,,
15,79299501,79300002,chr15-79299501-79300002,Stable,Closing,Closing,23,1700088E04Rik,-170152,,,,,,,,
1,158770119,158770620,chr1-158770119-158770620,Stable,Stable,Closing,26,Pappa2,-58392,,,,,,,,
17,45787345,45787846,chr17-45787345-45787846,Stable,Closing,Closing,23,Slc29a1,-202145,,,,,,,,
3,60917064,60917565,chr3-60917064-60917565,Stable,Closing,Closing,23,P2ry1,85230,,,,,,,,
4,70615769,70616270,chr4-70615769-70616270,Stable,Stable,Closing,26,Megf9,-188704,,,,,,,,
10,87880079,87880580,chr10-87880079-87880580,Stable,Closing,Closing,23,Igf1,-21814,,,,,,,,
1,131942613,131943594,chr1-131942613-131943594,Stable,Closing,Closing,23,Rab29,-75389,,,Lemd1,247837,,,,
5,21247846,21248347,chr5-21247846-21248347,Stable,Stable,Closing,26,Ccdc146,44614,,,,,,,,
15,66807162,66807663,chr15-66807162-66807663,Stable,Closing,Closing,23,Sla,-26343,,,Ccn4,83657,Phf20l1,-229602,,
3,122888355,122888856,chr3-122888355-122888856,Stable,Closing,Closing,23,Usp53,42637,,,,,,,,
18,24772647,24773148,chr18-24772647-24773148,Stable,Closing,Closing,23,Fhod3,-64024,,,,,,,,
13,108335093,108335594,chr13-108335093-108335594,Stable,Closing,Closing,23,Elovl7,-120689,,,,,,,,
7,90394874,90395375,chr7-90394874-90395375,Stable,Closing,Closing,23,Sytl2,-92622,,,,,,,,
2,3415673,3416174,chr2-3415673-3416174,Stable,Closing,Closing,23,Meig1,-6630,,,,,,,,
15,27414788,27415289,chr15-27414788-27415289,Stable,Closing,Closing,23,Ank,51388,,,,,,,,
13,63187059,63187560,chr13-63187059-63187560,Stable,Closing,Closing,23,Aopep,-222166,,,,,,,,
3,117076626,117077127,chr3-117076626-117077127,Stable,Closing,Closing,23,Plppr4,242012,,,,,,,,
1,127850184,127850685,chr1-127850184-127850685,Stable,Closing,Closing,23,Map3k19,-35393,,,,,,,,
1,129477249,129477750,chr1-129477249-129477750,Stable,Closing,Closing,23,Thsd7b,-203947,,,,,,,,
3,36482936,36483437,chr3-36482936-36483437,Stable,Closing,Closing,23,Trpc3,137045,,,,,,,,
1,105281152,105281653,chr1-105281152-105281653,Stable,Closing,Closing,23,Rnf152,-4238,,,,,,,,
13,13984772,13985273,chr13-13984772-13985273,Stable,Closing,Closing,23,Hecw1,241165,,,,,,,,
2,110443720,110444221,chr2-110443720-110444221,Stable,Closing,Closing,23,Fibin,-82803,,,Bbox1,-181023,,,,
6,144743645,144744146,chr6-144743645-144744146,Stable,Closing,Closing,23,Bcat1,249689,,,,,,,,
10,10287502,10288003,chr10-10287502-10288003,Stable,Closing,Closing,23,Adgb,47700,,,,,,,,
19,42099372,42099873,chr19-42099372-42099873,Stable,Closing,Closing,23,Golga7b,147701,,,,,,,,
14,73483726,73484227,chr14-73483726-73484227,Stable,Closing,Closing,23,Lpar6,-245831,,,,,,,,
4,83080875,83081566,chr4-83080875-83081566,Stable,Closing,Closing,23,Ttc39b,138734,,,,,,,,
11,7227026,7227527,chr11-7227026-7227527,Stable,Closing,Closing,23,Adcy1,-163537,,,,,,,,
14,65876169,65876670,chr14-65876169-65876670,Stable,Closing,Closing,23,Clu,91813,,,Scara5,-209766,,,,
19,20577152,20577823,chr19-20577152-20577823,Stable,Closing,Closing,23,Aldh1a1,-84437,,,,,,,,
10,123251886,123252387,chr10-123251886-123252387,Stable,Closing,Closing,23,Tafa2,11609,,,,,,,,
15,27259070,27259571,chr15-27259070-27259571,Stable,Stable,Closing,26,Ank,207106,,,,,,,,
5,122436361,122436862,chr5-122436361-122436862,Stable,Closing,Closing,23,Atp2a2,16651,,,,,,,,
17,71919219,71919720,chr17-71919219-71919720,Stable,Closing,Closing,23,Clip4,-150746,,,,,,,,
8,83363115,83363616,chr8-83363115-83363616,Stable,Closing,Closing,23,Tbc1d9,-197763,,,,,,,,
5,146923498,146923999,chr5-146923498-146923999,Stable,Closing,Closing,23,Rasl11a,-78427,,,,,,,,
16,42892963,42893464,chr16-42892963-42893464,Stable,Closing,Closing,23,Zbtb20,-17082,,,,,,,,
13,63170278,63170779,chr13-63170278-63170779,Stable,Closing,Closing,23,Aopep,-205385,,,,,,,,
2,148603822,148604323,chr2-148603822-148604323,Stable,Closing,Closing,23,Cd93,-167182,,,,,,,,
2,21001138,21001639,chr2-21001138-21001639,Stable,Closing,Closing,23,Enkur,179092,,,,,,,,
6,4464945,4465446,chr6-4464945-4465446,Stable,Closing,Closing,23,Sgce,208904,,,,,,,,
9,56232399,56232900,chr9-56232399-56232900,Stable,Closing,Closing,23,Tspan3,-100674,,,,,,,,
2,38771317,38771818,chr2-38771317-38771818,Stable,Closing,Closing,23,Wdr38,225658,,,,,,,,
2,128713618,128714119,chr2-128713618-128714119,Stable,Closing,Closing,23,Fbln7,148862,,,,,,,,
9,104789411,104790031,chr9-104789411-104790031,Stable,Closing,Closing,23,Cpne4,-242125,,,,,,,,
5,144904342,144904843,chr5-144904342-144904843,Stable,Closing,Closing,23,Tmem130,-168427,,,,,,,,
18,62032610,62033111,chr18-62032610-62033111,Stable,Closing,Closing,23,Ablim3,-233218,,,,,,,,
6,14044603,14045104,chr6-14044603-14045104,Stable,Closing,Closing,23,Gpr85,-210145,,,,,,,,
5,38060453,38060954,chr5-38060453-38060954,Stable,Closing,Closing,23,Msx1,-239968,,,,,,,,
