Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,,,,,,,,,,,,,,,,,
19,58866629,58867130,chr19-58866629-58867130,Stable,Closing,Closing,23,Eno4,76295,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4535916,4536417,chr15-4535916-4536417,Stable,Closing,Closing,23,Plcxd3,-160425,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13640436,13641173,chr3-13640436-13641173,Stable,Closing,Closing,23,Ralyl,-168781,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27104679,27105180,chr7-27104679-27105180,Stable,Closing,Closing,23,Mia,74562,,,,,,,,,,,,,,,,,,,,,,,,,,
4,124829687,124830188,chr4-124829687-124830188,Stable,Closing,Closing,23,Maneal,25051,,,Pou3f1,-172880,Dnali1,225150,,,,,,,,,,,,,,,,,,,,
5,144151230,144151731,chr5-144151230-144151731,Stable,Closing,Closing,23,Rsph10b,-218195,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59580263,59580764,chr1-59580263-59580764,Stable,Closing,Closing,23,Gm973,-63999,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28133967,28134468,chr3-28133967-28134468,Stable,Closing,Closing,23,Tnik,128746,,,Pld1,-195272,,,,,,,,,,,,,,,,,,,,,,
1,174670941,174671442,chr1-174670941-174671442,Stable,Closing,Closing,23,Fmn2,-169116,,,,,,,,,,,,,,,,,,,,,,,,,,
11,102883309,102883810,chr11-102883309-102883810,Stable,Stable,Closing,26,Ccdc103,-2105,,,Gfap,3526,,,,,,,,,,,,,,,,,,,,,,
5,75421563,75422064,chr5-75421563-75422064,Stable,Closing,Closing,23,Kit,152852,,,,,,,,,,,,,,,,,,,,,,,,,,
12,66437989,66438490,chr12-66437989-66438490,Stable,Closing,Closing,23,Mdga2,27570,,,,,,,,,,,,,,,,,,,,,,,,,,
9,108949547,108950192,chr9-108949547-108950192,Stable,Closing,Closing,23,Celsr3,-123227,,,,,,,,,,,,,,,,,,,,,,,,,,
7,47031287,47031788,chr7-47031287-47031788,Stable,Closing,Closing,23,Ptpn5,46007,,,Tsg101,-142338,,,,,,,,,,,,,,,,,,,,,,
6,121536244,121536945,chr6-121536244-121536945,Stable,Closing,Closing,23,A2m,98431,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28359135,28359636,chr3-28359135-28359636,Stable,Closing,Closing,23,Tnik,-95921,,,,,,,,,,,,,,,,,,,,,,,,,,
11,49829294,49829795,chr11-49829294-49829795,Stable,Closing,Closing,23,Rnf130,195551,,,,,,,,,,,,,,,,,,,,,,,,,,
9,50756640,50757141,chr9-50756640-50757141,Stable,Closing,Closing,23,Dixdc1,-93888,,,Pih1d2,-139319,,,,,,,,,,,,,,,,,,,,,,
5,84240256,84240757,chr5-84240256-84240757,Stable,Closing,Closing,23,Epha5,-185495,,,,,,,,,,,,,,,,,,,,,,,,,,
16,43958105,43958606,chr16-43958105-43958606,Stable,Closing,Closing,23,Zdhhc23,6427,,,Gramd1c,21744,,,,,,,,,,,,,,,,,,,,,,
1,191042499,191043000,chr1-191042499-191043000,Stable,Closing,Closing,23,Tatdn3,2826,,,,,,,,,,,,,,,,,,,,,,,,,,
9,91424904,91425405,chr9-91424904-91425405,Stable,Stable,Closing,26,Zic4,-62491,,,,,,,,,,,,,,,,,,,,,,,,,,
15,55472516,55473017,chr15-55472516-55473017,Stable,Closing,Closing,23,Col14a1,-164766,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8142212,8142713,chr9-8142212-8142713,Stable,Closing,Closing,23,Cfap300,-120540,,,,,,,,,,,,,,,,,,,,,,,,,,
10,107240580,107241081,chr10-107240580-107241081,Stable,Closing,Closing,23,Lin7a,30605,,,,,,,,,,,,,,,,,,,,,,,,,,
6,76711357,76711858,chr6-76711357-76711858,Stable,Closing,Closing,23,Ctnna2,169779,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15893663,15894164,chr8-15893663-15894164,Stable,Closing,Closing,23,Csmd1,-1126,,,,,,,,,,,,,,,,,,,,,,,,,,
18,42792692,42793411,chr18-42792692-42793411,Stable,Closing,Closing,23,Ppp2r2b,-155260,,,,,,,,,,,,,,,,,,,,,,,,,,
1,169685081,169685582,chr1-169685081-169685582,Stable,Closing,Closing,23,Ccdc190,243066,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36234880,36235381,chr2-36234880-36235381,Stable,Stable,Closing,26,Morn5,-185422,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12007968,12008469,chr4-12007968-12008469,Stable,Closing,Closing,23,Tmem67,30886,,,,,,,,,,,,,,,,,,,,,,,,,,
13,70713289,70713790,chr13-70713289-70713790,Stable,Closing,Closing,23,Adamts16,14012,,,,,,,,,,,,,,,,,,,,,,,,,,
11,55330103,55330604,chr11-55330103-55330604,Stable,Closing,Closing,23,Gm2a,-231988,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27291711,27292212,chr7-27291711-27292212,Stable,Closing,Closing,23,Mia,-111969,,,,,,,,,,,,,,,,,,,,,,,,,,
7,120962384,120962885,chr7-120962384-120962885,Stable,Closing,Closing,23,Polr3e,-44640,,,Vwa3a,-223066,,,,,,,,,,,,,,,,,,,,,,
12,32054895,32055396,chr12-32054895-32055396,Stable,Closing,Closing,23,Prkar2b,-96419,,,,,,,,,,,,,,,,,,,,,,,,,,
2,145737085,145737586,chr2-145737085-145737586,Stable,Closing,Closing,23,Rin2,-61870,,,,,,,,,,,,,,,,,,,,,,,,,,
8,57383827,57384328,chr8-57383827-57384328,Stable,Closing,Closing,23,Scrg1,71595,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15669400,15669901,chr8-15669400-15669901,Stable,Closing,Closing,23,Csmd1,222636,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28636537,28637038,chr6-28636537-28637038,Stable,Closing,Closing,23,Lrrc4,24793,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51259674,51260175,chr14-51259674-51260175,Stable,Closing,Closing,23,Rnase1,-114676,,,,,,,,,,,,,,,,,,,,,,,,,,
2,144274763,144275264,chr2-144274763-144275264,Stable,Closing,Closing,23,Zfp133-ps,184016,,,Dzank1,195293,,,,,,,,,,,,,,,,,,,,,,
12,101922317,101922818,chr12-101922317-101922818,Stable,Closing,Closing,23,Slc24a4,205915,,,,,,,,,,,,,,,,,,,,,,,,,,
2,122704469,122704970,chr2-122704469-122704970,Stable,Closing,Closing,23,Gatm,-110002,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22683682,22684183,chr9-22683682-22684183,Stable,Closing,Closing,23,Bbs9,-207967,,,,,,,,,,,,,,,,,,,,,,,,,,
12,85273387,85273888,chr12-85273387-85273888,Stable,Closing,Closing,23,Zc2hc1c,14703,,,Fos,200002,,,,,,,,,,,,,,,,,,,,,,
1,136840222,136840856,chr1-136840222-136840856,Stable,Stable,Closing,26,Nr5a2,1715,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6279644,6280145,chr1-6279644-6280145,Stable,Closing,Closing,23,St18,207086,,,,,,,,,,,,,,,,,,,,,,,,,,
5,36625466,36625967,chr5-36625466-36625967,Stable,Closing,Closing,23,Ccdc96,-140878,,,,,,,,,,,,,,,,,,,,,,,,,,
10,92576656,92577157,chr10-92576656-92577157,Stable,Closing,Closing,23,Cfap54,198462,,,,,,,,,,,,,,,,,,,,,,,,,,
8,60864869,60865370,chr8-60864869-60865370,Stable,Closing,Closing,23,Nek1,127825,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5307978,5308479,chr3-5307978-5308479,Stable,Closing,Closing,23,Zfhx4,-89452,,,,,,,,,,,,,,,,,,,,,,,,,,
3,105209145,105209646,chr3-105209145-105209646,Stable,Closing,Closing,23,Kcnd3,242684,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15650477,15650978,chr9-15650477-15650978,Stable,Closing,Closing,23,Deup1,-90613,,,,,,,,,,,,,,,,,,,,,,,,,,
15,96802387,96802888,chr15-96802387-96802888,Stable,Closing,Closing,23,Slc38a2,-114995,,,Slc38a1,-230969,,,,,,,,,,,,,,,,,,,,,,
1,160174215,160174716,chr1-160174215-160174716,Stable,Closing,Closing,23,Rabgap1l,44458,,,,,,,,,,,,,,,,,,,,,,,,,,
14,123312365,123312866,chr14-123312365-123312866,Stable,Closing,Closing,23,Nalcn,-35731,,,,,,,,,,,,,,,,,,,,,,,,,,
7,118481083,118481584,chr7-118481083-118481584,Stable,Closing,Closing,23,Syt17,-100366,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21506876,21507377,chr5-21506876-21507377,Stable,Closing,Closing,23,Fbxl13,-23029,,,Fgl2,-134234,,,,,,,,,,,,,,,,,,,,,,
10,95465603,95466104,chr10-95465603-95466104,Stable,Closing,Closing,23,Socs2,-80241,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55255916,55256417,chr14-55255916-55256417,Stable,Closing,Closing,23,Jph4,-149090,,,Zfhx2,-195654,,,,,,,,,,,,,,,,,,,,,,
4,103005530,103006031,chr4-103005530-103006031,Stable,Closing,Closing,23,Wdr78,32034,,,,,,,,,,,,,,,,,,,,,,,,,,
12,69885093,69885594,chr12-69885093-69885594,Stable,Closing,Closing,23,Atl1,7020,,,,,,,,,,,,,,,,,,,,,,,,,,
1,136839064,136839565,chr1-136839064-136839565,Stable,Closing,Closing,23,Nr5a2,3006,,,,,,,,,,,,,,,,,,,,,,,,,,
12,91027259,91027760,chr12-91027259-91027760,Stable,Closing,Closing,23,Cep128,-28767,,,,,,,,,,,,,,,,,,,,,,,,,,
2,144240508,144241009,chr2-144240508-144241009,Stable,Closing,Closing,23,Zfp133-ps,218271,,,Dzank1,229548,,,,,,,,,,,,,,,,,,,,,,
8,93673443,93673944,chr8-93673443-93673944,Stable,Closing,Closing,23,Gnao1,136022,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17011026,17011527,chr16-17011026-17011527,Stable,Closing,Closing,23,Ypel1,58169,,,,,,,,,,,,,,,,,,,,,,,,,,
8,84381650,84382151,chr8-84381650-84382151,Stable,Closing,Closing,23,Cacna1a,-43011,,,,,,,,,,,,,,,,,,,,,,,,,,
2,62712265,62712766,chr2-62712265-62712766,Stable,Closing,Closing,23,Kcnh7,-18851,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21154511,21155012,chr1-21154511-21155012,Stable,Stable,Closing,26,Efhc1,-202885,,,,,,,,,,,,,,,,,,,,,,,,,,
2,79538166,79538667,chr2-79538166-79538667,Stable,Closing,Closing,23,Neurod1,-85645,,,,,,,,,,,,,,,,,,,,,,,,,,
1,164419185,164419844,chr1-164419185-164419844,Stable,Closing,Closing,23,Ccdc181,-143600,,,,,,,,,,,,,,,,,,,,,,,,,,
1,153986552,153987053,chr1-153986552-153987053,Stable,Closing,Closing,23,Rnasel,-237126,,,,,,,,,,,,,,,,,,,,,,,,,,
9,73130395,73130896,chr9-73130395-73130896,Stable,Closing,Closing,23,Pigb,-122976,,,Ccpg1os,-150673,Dnaaf4,-171610,,,,,,,,,,,,,,,,,,,,
1,159564783,159565284,chr1-159564783-159565284,Stable,Closing,Closing,23,Tnr,-41014,,,,,,,,,,,,,,,,,,,,,,,,,,
16,96034386,96034887,chr16-96034386-96034887,Stable,Closing,Closing,23,B3galt5,200914,,,,,,,,,,,,,,,,,,,,,,,,,,
11,49966447,49966948,chr11-49966447-49966948,Stable,Closing,Closing,23,Rnf130,58398,,,,,,,,,,,,,,,,,,,,,,,,,,
1,164237944,164238445,chr1-164237944-164238445,Stable,Closing,Closing,23,Ccdc181,37140,,,,,,,,,,,,,,,,,,,,,,,,,,
1,164273643,164274144,chr1-164273643-164274144,Stable,Closing,Closing,23,Ccdc181,1441,,,,,,,,,,,,,,,,,,,,,,,,,,
2,122717688,122718189,chr2-122717688-122718189,Stable,Closing,Closing,23,Gatm,-123221,,,,,,,,,,,,,,,,,,,,,,,,,,
5,52920734,52921235,chr5-52920734-52921235,Stable,Closing,Closing,23,Sel1l3,185848,,,,,,,,,,,,,,,,,,,,,,,,,,
6,124790092,124790593,chr6-124790092-124790593,Stable,Closing,Closing,23,Lrrc23,-20229,,,,,,,,,,,,,,,,,,,,,,,,,,
2,79570721,79571222,chr2-79570721-79571222,Stable,Closing,Closing,23,Neurod1,-118200,,,,,,,,,,,,,,,,,,,,,,,,,,
13,92780585,92781086,chr13-92780585-92781086,Stable,Closing,Closing,23,Serinc5,-169494,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17003303,17003804,chr7-17003303-17003804,Stable,Closing,Closing,23,Pnmal1,-43624,,,Pnmal2,-58621,,,,,,,,,,,,,,,,,,,,,,
12,66393138,66393639,chr12-66393138-66393639,Stable,Stable,Closing,26,Mdga2,72421,,,,,,,,,,,,,,,,,,,,,,,,,,
13,81534856,81535357,chr13-81534856-81535357,Stable,Closing,Closing,23,Mblac2,175984,,,,,,,,,,,,,,,,,,,,,,,,,,
2,136624342,136624843,chr2-136624342-136624843,Stable,Closing,Closing,23,Snap25,88610,,,Ankef1,-122432,,,,,,,,,,,,,,,,,,,,,,
8,119901971,119902472,chr8-119901971-119902472,Stable,Closing,Closing,23,6430548M08Rik,211680,,,,,,,,,,,,,,,,,,,,,,,,,,
7,118758598,118759099,chr7-118758598-118759099,Stable,Closing,Closing,23,Iqck,96653,,,,,,,,,,,,,,,,,,,,,,,,,,
2,124331011,124331512,chr2-124331011-124331512,Stable,Closing,Closing,23,Sema6d,-241042,,,,,,,,,,,,,,,,,,,,,,,,,,
2,136656532,136657215,chr2-136656532-136657215,Stable,Closing,Closing,23,Snap25,56238,,,Ankef1,-154622,,,,,,,,,,,,,,,,,,,,,,
1,6454034,6454535,chr1-6454034-6454535,Stable,Closing,Closing,23,St18,32696,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9092617,9093118,chr5-9092617-9093118,Stable,Closing,Closing,23,9330182L06Rik,173000,,,,,,,,,,,,,,,,,,,,,,,,,,
2,136151300,136151801,chr2-136151300-136151801,Stable,Closing,Closing,23,Pak7,-70196,,,,,,,,,,,,,,,,,,,,,,,,,,
13,52675794,52676295,chr13-52675794-52676295,Stable,Closing,Closing,23,Diras2,-171414,,,,,,,,,,,,,,,,,,,,,,,,,,
3,103988011,103988512,chr3-103988011-103988512,Stable,Closing,Closing,23,Rsbn1,-73891,,,,,,,,,,,,,,,,,,,,,,,,,,
2,79496640,79497141,chr2-79496640-79497141,Stable,Closing,Closing,23,Neurod1,-44119,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55571450,55571951,chr2-55571450-55571951,Stable,Closing,Closing,23,Kcnj3,-135480,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28130915,28131416,chr3-28130915-28131416,Stable,Closing,Closing,23,Tnik,131798,,,Pld1,-192220,,,,,,,,,,,,,,,,,,,,,,
9,7159650,7160151,chr9-7159650-7160151,Stable,Stable,Closing,26,Dync2h1,-231147,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46727445,46727946,chr7-46727445-46727946,Stable,Closing,Closing,23,Tsg101,161003,,,,,,,,,,,,,,,,,,,,,,,,,,
4,47196142,47196643,chr4-47196142-47196643,Stable,Closing,Closing,23,Col15a1,11518,,,,,,,,,,,,,,,,,,,,,,,,,,
3,97934769,97935270,chr3-97934769-97935270,Stable,Closing,Closing,23,Pde4dip,-244945,,,,,,,,,,,,,,,,,,,,,,,,,,
9,123818543,123819044,chr9-123818543-123819044,Stable,Closing,Closing,23,Fyco1,-29043,,,,,,,,,,,,,,,,,,,,,,,,,,
15,95835928,95836429,chr15-95835928-95836429,Stable,Closing,Closing,23,Dbx2,-212365,,,,,,,,,,,,,,,,,,,,,,,,,,
