Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,
18,66597566,66598067,chr18-66597566-66598067,Stable,Closing,Closing,23,Pmaip1,-139033,,,,,,,,
7,70304429,70304930,chr7-70304429-70304930,Stable,Closing,Closing,23,Nr2f2,47014,,,,,,,,
10,90973412,90974035,chr10-90973412-90974035,Stable,Closing,Closing,23,Tmpo,173536,,,,,,,,
7,112462844,112463345,chr7-112462844-112463345,Stable,Closing,Closing,23,Mical2,-236988,,,,,,,,
11,40923929,40924430,chr11-40923929-40924430,Stable,Closing,Closing,23,Nudcd2,-190262,,,Hmmr,-222534,,,,
3,36540731,36541232,chr3-36540731-36541232,Stable,Closing,Closing,23,Ccna2,23633,,,,,,,,
12,69885093,69885594,chr12-69885093-69885594,Stable,Closing,Closing,23,Nin,125841,,,,,,,,
8,18776185,18776686,chr8-18776185-18776686,Stable,Closing,Closing,23,Xkr5,156043,,,,,,,,
3,54474054,54474555,chr3-54474054-54474555,Stable,Closing,Closing,23,Postn,-112945,,,,,,,,
2,144240508,144241009,chr2-144240508-144241009,Stable,Closing,Closing,23,Snx5,9114,,,,,,,,
13,101016214,101016715,chr13-101016214-101016715,Stable,Closing,Closing,23,Ccnb1,-237564,,,,,,,,
1,40372864,40373365,chr1-40372864-40373365,Stable,Closing,Closing,23,Il1rl2,-48254,,,Il1r1,-147784,,,,
16,11774115,11774809,chr16-11774115-11774809,Stable,Closing,Closing,23,Cpped1,28912,,,,,,,,
7,134650375,134650876,chr7-134650375-134650876,Stable,Closing,Closing,23,Dock1,19778,,,,,,,,
15,94189192,94189693,chr15-94189192-94189693,Stable,Closing,Closing,23,Adamts20,80470,,,,,,,,
1,189440548,189441049,chr1-189440548-189441049,Stable,Stable,Closing,26,Cenpf,199557,,,,,,,,
17,67950583,67951298,chr17-67950583-67951298,Stable,Closing,Closing,23,Arhgap28,-107870,,,,,,,,
3,14505871,14506372,chr3-14505871-14506372,Stable,Closing,Closing,23,Car13,135355,,,,,,,,
1,54960611,54961112,chr1-54960611-54961112,Stable,Closing,Closing,23,Hspe1,127020,,,,,,,,
10,91158306,91158807,chr10-91158306-91158807,Stable,Closing,Closing,23,Tmpo,-10735,,,,,,,,
8,11263764,11264265,chr8-11263764-11264265,Stable,Closing,Closing,23,Col4a1,-65341,,,,,,,,
13,92780585,92781086,chr13-92780585-92781086,Stable,Closing,Closing,23,Thbs4,-28995,,,,,,,,
13,81534856,81535357,chr13-81534856-81535357,Stable,Closing,Closing,23,Lysmd3,122306,,,,,,,,
17,83597163,83597664,chr17-83597163-83597664,Stable,Closing,Closing,23,Eml4,-246232,,,,,,,,
2,128350393,128350894,chr2-128350393-128350894,Stable,Closing,Closing,23,Bcl2l11,-224355,,,,,,,,
7,132286882,132287383,chr7-132286882-132287383,Stable,Closing,Closing,23,Chst15,-51102,,,,,,,,
7,70416268,70416939,chr7-70416268-70416939,Stable,Closing,Closing,23,Nr2f2,-64324,,,,,,,,
13,113344440,113344941,chr13-113344440-113344941,Stable,Closing,Closing,23,Snx18,247238,,,,,,,,
14,20831092,20831593,chr14-20831092-20831593,Stable,Closing,Closing,23,Vcl,97805,,,,,,,,
7,132308475,132308976,chr7-132308475-132308976,Stable,Closing,Closing,23,Chst15,-72695,,,,,,,,
14,98808019,98808520,chr14-98808019-98808520,Stable,Closing,Closing,23,Rpl36a-ps1,185350,,,,,,,,
18,74002078,74002579,chr18-74002078-74002579,Stable,Closing,Closing,23,Ska1,192720,,,,,,,,
17,12586826,12587327,chr17-12586826-12587327,Stable,Closing,Closing,23,Igf2r,95079,,,,,,,,
16,26390011,26390512,chr16-26390011-26390512,Stable,Closing,Closing,23,Cldn1,-33369,,,,,,,,
4,52618944,52619607,chr4-52618944-52619607,Stable,Closing,Closing,23,Smc2,-179701,,,,,,,,
19,34731278,34731779,chr19-34731278-34731779,Stable,Closing,Closing,23,Kif20b,190582,,,,,,,,
6,127286818,127287319,chr6-127286818-127287319,Stable,Closing,Closing,23,Ccnd2,-161656,,,,,,,,
2,110528010,110528511,chr2-110528010-110528511,Stable,Closing,Closing,23,Ano3,126690,,,,,,,,
1,20620459,20620960,chr1-20620459-20620960,Stable,Closing,Closing,23,Mcm3,182008,,,,,,,,
5,151426542,151427043,chr5-151426542-151427043,Stable,Closing,Closing,23,Rfc3,215713,,,,,,,,
18,66472916,66473417,chr18-66472916-66473417,Stable,Closing,Closing,23,Pmaip1,-14383,,,,,,,,
2,84410069,84410570,chr2-84410069-84410570,Stable,Closing,Closing,23,Tfpi,22285,,,Calcrl,-79443,,,,
3,14693981,14694727,chr3-14693981-14694727,Stable,Closing,Closing,23,Car13,-52254,,,,,,,,
10,30031936,30032437,chr10-30031936-30032437,Stable,Closing,Closing,23,Cenpw,162132,,,,,,,,
7,102354662,102355163,chr7-102354662-102355163,Stable,Closing,Closing,23,Rrm1,86532,,,,,,,,
2,3367174,3367675,chr2-3367174-3367675,Stable,Closing,Closing,23,Suv39h2,88140,,,,,,,,
13,15504650,15505151,chr13-15504650-15505151,Stable,Closing,Closing,23,Gli3,-41415,,,,,,,,
7,132443787,132444500,chr7-132443787-132444500,Stable,Closing,Closing,23,Chst15,-208007,,,,,,,,
12,11120741,11121242,chr12-11120741-11121242,Stable,Closing,Closing,23,Gen1,117678,,,,,,,,
10,4633512,4634013,chr10-4633512-4634013,Stable,Closing,Closing,23,Armt1,-201045,,,,,,,,
2,137301495,137301996,chr2-137301495-137301996,Stable,Closing,Closing,23,Jag1,-220039,,,,,,,,
14,79248517,79249018,chr14-79248517-79249018,Stable,Closing,Closing,23,Elf1,232176,,,,,,,,
1,194908851,194909352,chr1-194908851-194909352,Stable,Closing,Closing,23,Cd34,29467,,,,,,,,
15,94294038,94294539,chr15-94294038-94294539,Stable,Closing,Closing,23,Adamts20,-23875,,,,,,,,
15,58323921,58324422,chr15-58323921-58324422,Stable,Closing,Closing,23,Atad2,-229877,,,,,,,,
7,80554333,80554834,chr7-80554333-80554834,Stable,Closing,Closing,23,Blm,-99600,,,,,,,,
10,30003148,30003649,chr10-30003148-30003649,Stable,Closing,Closing,23,Cenpw,190920,,,,,,,,
2,75991747,75992248,chr2-75991747-75992248,Stable,Closing,Closing,23,Agps,-159570,,,,,,,,
6,126755947,126756448,chr6-126755947-126756448,Stable,Closing,Closing,23,Rad51ap1,166602,,,,,,,,
6,72868661,72869162,chr6-72868661-72869162,Stable,Closing,Closing,23,Tcf7l1,-242283,,,,,,,,
1,54875000,54875501,chr1-54875000-54875501,Stable,Closing,Closing,23,Hspe1,212631,,,,,,,,
9,103078149,103078650,chr9-103078149-103078650,Stable,Closing,Closing,23,Topbp1,226565,,,,,,,,
13,92365256,92365757,chr13-92365256-92365757,Stable,Closing,Closing,23,Dhfr,-10530,,,,,,,,
4,84234283,84235069,chr4-84234283-84235069,Stable,Closing,Closing,23,Bnc2,40026,,,,,,,,
10,97726032,97726533,chr10-97726032-97726533,Stable,Closing,Closing,23,Epyc,-81964,,,,,,,,
15,94214351,94214852,chr15-94214351-94214852,Stable,Closing,Closing,23,Adamts20,55311,,,,,,,,
13,92694044,92694545,chr13-92694044-92694545,Stable,Closing,Closing,23,Thbs4,57045,,,,,,,,
15,94346899,94347400,chr15-94346899-94347400,Stable,Closing,Closing,23,Adamts20,-76736,,,,,,,,
2,110632662,110633163,chr2-110632662-110633163,Stable,Closing,Closing,23,Ano3,22038,,,,,,,,
14,67434194,67434695,chr14-67434194-67434695,Stable,Closing,Closing,23,Cdca2,241636,,,,,,,,
6,98797270,98797771,chr6-98797270-98797771,Stable,Closing,Closing,23,Foxp1,127567,,,,,,,,
17,71289605,71290106,chr17-71289605-71290106,Stable,Closing,Closing,23,Ndc80,205994,,,,,,,,
2,71493085,71493586,chr2-71493085-71493586,Stable,Closing,Closing,23,Hat1,-104127,,,,,,,,
5,8208010,8208511,chr5-8208010-8208511,Stable,Closing,Closing,23,Dbf4,188462,,,,,,,,
2,60138748,60139249,chr2-60138748-60139249,Stable,Closing,Closing,23,Ly75,152854,,,,,,,,
12,8108514,8109015,chr12-8108514-8109015,Stable,Closing,Closing,23,Hs1bp3,204417,,,,,,,,
8,33470122,33470623,chr8-33470122-33470623,Stable,Closing,Closing,23,Tex15,46115,,,,,,,,
2,125598378,125599156,chr2-125598378-125599156,Stable,Closing,Closing,23,Eid1,73939,,,,,,,,
14,65800836,65801337,chr14-65800836-65801337,Stable,Closing,Closing,23,Pbk,4500,,,Esco2,17701,,,,
17,67685072,67685782,chr17-67685072-67685782,Stable,Closing,Closing,23,Arhgap28,156931,,,,,,,,
8,18689641,18690142,chr8-18689641-18690142,Stable,Closing,Closing,23,Xkr5,242587,,,,,,,,
11,34982958,34983459,chr11-34982958-34983459,Stable,Closing,Closing,23,Spdl1,-173768,,,,,,,,
3,131868516,131869017,chr3-131868516-131869017,Stable,Closing,Closing,23,Dkk2,216275,,,,,,,,
16,87517551,87518052,chr16-87517551-87518052,Stable,Closing,Closing,23,Bach1,180893,,,,,,,,
12,21362661,21363162,chr12-21362661-21363162,Stable,Closing,Closing,23,Ywhaq,26909,,,,,,,,
15,77920314,77920815,chr15-77920314-77920815,Stable,Closing,Closing,23,Myh9,-159727,,,,,,,,
2,71698927,71699428,chr2-71698927-71699428,Stable,Closing,Closing,23,Itga6,46188,,,Pdk1,173796,,,,
19,34761940,34762820,chr19-34761940-34762820,Stable,Closing,Closing,23,Kif20b,159541,,,,,,,,
3,34037412,34037913,chr3-34037412-34037913,Stable,Closing,Closing,23,Ttc14,-237580,,,,,,,,
7,19464337,19464838,chr7-19464337-19464838,Stable,Closing,Closing,23,Clptm1,166733,,,,,,,,
3,14586912,14587413,chr3-14586912-14587413,Stable,Closing,Closing,23,Car13,54314,,,,,,,,
13,23490608,23491109,chr13-23490608-23491109,Stable,Closing,Closing,23,Hist1h3f,52943,,,,,,,,
14,57344742,57345243,chr14-57344742-57345243,Stable,Closing,Closing,23,Xpo4,232278,,,,,,,,
7,83737931,83738432,chr7-83737931-83738432,Stable,Stable,Closing,26,Tlnrd1,141441,,,,,,,,
14,20298099,20298600,chr14-20298099-20298600,Stable,Closing,Closing,23,Dnajc9,86038,,,,,,,,
10,5967501,5968002,chr10-5967501-5968002,Stable,Closing,Closing,23,Fbxo5,-168341,,,,,,,,
19,12632964,12633465,chr19-12632964-12633465,Stable,Closing,Closing,23,Fam111a,-87224,,,,,,,,
1,191662108,191662609,chr1-191662108-191662609,Stable,Closing,Closing,23,Dtl,-124752,,,,,,,,
10,4620801,4621302,chr10-4620801-4621302,Stable,Closing,Closing,23,Armt1,-188334,,,,,,,,
19,34715595,34716096,chr19-34715595-34716096,Stable,Closing,Closing,23,Kif20b,206265,,,,,,,,
11,11939534,11940035,chr11-11939534-11940035,Stable,Closing,Closing,23,Grb10,-9026,,,Fignl1,-152103,,,,
2,112359540,112360041,chr2-112359540-112360041,Stable,Closing,Closing,23,Slc12a6,-93715,,,Olfr1318,-205342,,,,
6,115943584,115944085,chr6-115943584-115944085,Stable,Closing,Closing,23,Cand2,-169046,,,,,,,,
2,18005031,18005771,chr2-18005031-18005771,Stable,Closing,Closing,23,Skida1,34905,,,,,,,,
9,53258187,53258688,chr9-53258187-53258688,Stable,Closing,Closing,23,Poglut3,125337,,,Atm,180461,,,,
10,87880079,87880580,chr10-87880079-87880580,Stable,Closing,Closing,23,Parpbp,210852,,,,,,,,
1,131942613,131943594,chr1-131942613-131943594,Stable,Closing,Closing,23,Nucks1,-32079,,,,,,,,
16,38612658,38613159,chr16-38612658-38613159,Stable,Closing,Closing,23,Pla1a,-216541,,,,,,,,
5,93121452,93121953,chr5-93121452-93121953,Stable,Closing,Closing,23,Ccng2,145304,,,,,,,,
18,41888334,41888835,chr18-41888334-41888835,Stable,Closing,Closing,23,Prelid2,-12734,,,,,,,,
15,94248327,94249062,chr15-94248327-94249062,Stable,Closing,Closing,23,Adamts20,21101,,,,,,,,
17,83250836,83251337,chr17-83250836-83251337,Stable,Closing,Closing,23,Eml4,99594,,,,,,,,
4,28570991,28571492,chr4-28570991-28571492,Stable,Closing,Closing,23,Epha7,241639,,,,,,,,
3,66758067,66758568,chr3-66758067-66758568,Stable,Closing,Closing,23,Shox2,213159,,,,,,,,
2,3415673,3416174,chr2-3415673-3416174,Stable,Closing,Closing,23,Suv39h2,39641,,,,,,,,
3,36482936,36483437,chr3-36482936-36483437,Stable,Closing,Closing,23,Ccna2,81428,,,,,,,,
2,129263067,129263568,chr2-129263067-129263568,Stable,Closing,Closing,23,Ckap2l,4642,,,,,,,,
7,28420761,28421262,chr7-28420761-28421262,Stable,Closing,Closing,23,Rps16,-70109,,,,,,,,
2,110443720,110444221,chr2-110443720-110444221,Stable,Closing,Closing,23,Ano3,210980,,,,,,,,
11,98763055,98763556,chr11-98763055-98763556,Stable,Closing,Closing,23,Top2a,229387,,,,,,,,
18,58113719,58114220,chr18-58113719-58114220,Stable,Closing,Closing,23,Fbn2,-105096,,,,,,,,
2,125303966,125304467,chr2-125303966-125304467,Stable,Closing,Closing,23,Dut,-56776,,,,,,,,
2,72297510,72298011,chr2-72297510-72298011,Stable,Closing,Closing,23,Map3k20,-11873,,,Cdca7,178148,,,,
1,57746577,57747078,chr1-57746577-57747078,Stable,Closing,Closing,23,Sgo2a,248893,,,,,,,,
14,67476576,67477077,chr14-67476576-67477077,Stable,Closing,Closing,23,Cdca2,199254,,,Kctd9,238860,,,,
11,34909807,34910308,chr11-34909807-34910308,Stable,Closing,Closing,23,Spdl1,-100617,,,,,,,,
19,38744435,38744936,chr19-38744435-38744936,Stable,Closing,Closing,23,Hells,185979,,,,,,,,
19,38772085,38772586,chr19-38772085-38772586,Stable,Closing,Closing,23,Hells,158329,,,,,,,,
4,129868188,129868689,chr4-129868188-129868689,Stable,Closing,Closing,23,Ptp4a2,-56969,,,,,,,,
16,56477792,56478293,chr16-56477792-56478293,Stable,Closing,Closing,23,Abi3bp,0,,,,,,,,
14,65876169,65876670,chr14-65876169-65876670,Stable,Closing,Closing,23,Esco2,-57131,,,Pbk,-70332,,,,
16,23332578,23333079,chr16-23332578-23333079,Stable,Closing,Closing,23,Rfc4,-218635,,,,,,,,
10,4210424,4210925,chr10-4210424-4210925,Stable,Closing,Closing,23,Akap12,55455,,,Armt1,221542,,,,
19,12336270,12336949,chr19-12336270-12336949,Stable,Closing,Closing,23,Fam111a,208791,,,,,,,,
5,122436361,122436862,chr5-122436361-122436862,Stable,Closing,Closing,23,Atp2a2,16651,,,,,,,,
4,13767182,13768090,chr4-13767182-13768090,Stable,Closing,Closing,23,Runx1t1,-23746,,,,,,,,
5,13090375,13090876,chr5-13090375-13090876,Stable,Closing,Closing,23,Sema3a,34538,,,,,,,,
2,129212330,129212831,chr2-129212330-129212831,Stable,Closing,Closing,23,Ckap2l,55379,,,,,,,,
5,12970976,12971477,chr5-12970976-12971477,Stable,Closing,Closing,23,Sema3a,153937,,,,,,,,
8,11098866,11099367,chr8-11098866-11099367,Stable,Closing,Closing,23,Col4a1,99056,,,,,,,,
17,31943805,31944306,chr17-31943805-31944306,Stable,Closing,Closing,23,Notch3,176514,,,,,,,,
1,150537643,150538144,chr1-150537643-150538144,Stable,Closing,Closing,23,Hmcn1,24380,,,,,,,,
1,40359728,40360229,chr1-40359728-40360229,Stable,Closing,Closing,23,Il1rl2,-35118,,,Il1r1,-134648,,,,
2,127007453,127007954,chr2-127007453-127007954,Stable,Closing,Closing,23,Itpripl1,130818,,,,,,,,
11,49083223,49083724,chr11-49083223-49083724,Stable,Closing,Closing,23,Tgtp2,-26029,,,Mgat1,160467,,,,
13,15526652,15527153,chr13-15526652-15527153,Stable,Closing,Closing,23,Gli3,-63417,,,,,,,,
9,56232399,56232900,chr9-56232399-56232900,Stable,Closing,Closing,23,Peak1,-31273,,,,,,,,
5,144904342,144904843,chr5-144904342-144904843,Stable,Closing,Closing,23,Arpc1b,209372,,,,,,,,
5,86227452,86227953,chr5-86227452-86227953,Stable,Closing,Closing,23,Uba6,-118165,,,,,,,,
5,86244837,86245338,chr5-86244837-86245338,Stable,Closing,Closing,23,Uba6,-135550,,,,,,,,
1,183320747,183321248,chr1-183320747-183321248,Stable,Closing,Closing,23,Disp1,-234481,,,,,,,,
11,40713781,40714282,chr11-40713781-40714282,Stable,Closing,Closing,23,Hmmr,-12386,,,Nudcd2,19385,,,,
15,10759967,10760468,chr15-10759967-10760468,Stable,Closing,Closing,23,Rai14,-190998,,,,,,,,
18,61317189,61317690,chr18-61317189-61317690,Stable,Stable,Closing,26,Slc26a2,-124270,,,,,,,,
5,110181732,110182233,chr5-110181732-110182233,Stable,Closing,Closing,23,Pole,104073,,,,,,,,
10,14521220,14521721,chr10-14521220-14521721,Stable,Closing,Closing,23,Adgrg6,-118637,,,,,,,,
11,87298369,87299204,chr11-87298369-87299204,Stable,Closing,Closing,23,Ska2,-189135,,,Prr11,-209216,,,,
2,157378096,157378597,chr2-157378096-157378597,Stable,Closing,Closing,23,Rbl1,-232203,,,,,,,,
