Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,,,
7,16601699,16602200,chr7-16601699-16602200,Stable,Closing,Closing,23,Slc1a5,179140,,,,,,,,,,
17,85651614,85652115,chr17-85651614-85652115,Stable,Closing,Closing,23,Six2,32162,,,,,,,,,,
7,49763877,49764378,chr7-49763877-49764378,Stable,Closing,Closing,23,Htatip2,-4762,,,,,,,,,,
11,104673550,104674190,chr11-104673550-104674190,Stable,Closing,Closing,23,Itgb3,-65550,,,,,,,,,,
6,4052720,4053221,chr6-4052720-4053221,Stable,Closing,Closing,23,Tfpi2,-90125,,,,,,,,,,
3,54474054,54474555,chr3-54474054-54474555,Stable,Closing,Closing,23,Postn,-112945,,,,,,,,,,
16,93962974,93963475,chr16-93962974-93963475,Stable,Closing,Closing,23,Chaf1b,-79073,,,,,,,,,,
13,101016214,101016715,chr13-101016214-101016715,Stable,Closing,Closing,23,Ccnb1,-237564,,,,,,,,,,
8,85373865,85374366,chr8-85373865-85374366,Stable,Closing,Closing,23,Orc6,-74233,,,,,,,,,,
11,62027236,62027737,chr11-62027236-62027737,Stable,Closing,Closing,23,Specc1,-70473,,,Adora2b,221247,,,,,,
16,17011026,17011527,chr16-17011026-17011527,Stable,Closing,Closing,23,2610318N02Rik,101871,,,,,,,,,,
16,30340629,30341130,chr16-30340629-30341130,Stable,Closing,Closing,23,Lrrc15,-71327,,,,,,,,,,
10,91158306,91158807,chr10-91158306-91158807,Stable,Closing,Closing,23,Apaf1,-168995,,,,,,,,,,
15,51815144,51815645,chr15-51815144-51815645,Stable,Closing,Closing,23,Eif3h,-28586,,,,,,,,,,
3,59169991,59170492,chr3-59169991-59170492,Stable,Closing,Closing,23,Igsf10,146243,,,,,,,,,,
6,124790092,124790593,chr6-124790092-124790593,Stable,Closing,Closing,23,Cdca3,38954,,,,,,,,,,
10,77197436,77198224,chr10-77197436-77198224,Stable,Closing,Closing,23,Col18a1,-145258,,,,,,,,,,
7,17003303,17003804,chr7-17003303-17003804,Stable,Closing,Closing,23,Ccdc8,-10595,,,Slc1a5,-221963,,,,,,
10,56162779,56163280,chr10-56162779-56163280,Stable,Closing,Closing,23,Msl3l2,-55862,,,,,,,,,,
18,69704643,69705144,chr18-69704643-69705144,Stable,Closing,Closing,23,Ccdc68,220282,,,,,,,,,,
17,83597163,83597664,chr17-83597163-83597664,Stable,Closing,Closing,23,Cox7a2l,-95245,,,,,,,,,,
7,98468980,98469481,chr7-98468980-98469481,Stable,Closing,Closing,23,Lrrc32,19802,,,,,,,,,,
2,136656532,136657215,chr2-136656532-136657215,Stable,Closing,Closing,23,AL731706.1,224056,,,,,,,,,,
19,47402891,47403392,chr19-47402891-47403392,Stable,Closing,Closing,23,Sh3pxd2a,-142717,,,,,,,,,,
6,72882889,72883390,chr6-72882889-72883390,Stable,Closing,Closing,23,Tmsb10,73957,,,,,,,,,,
10,116297826,116298327,chr10-116297826-116298327,Stable,Closing,Closing,23,Kcnmb4,119534,,,,,,,,,,
14,20831092,20831593,chr14-20831092-20831593,Stable,Closing,Closing,23,Sec24c,-156784,,,,,,,,,,
13,85359147,85359648,chr13-85359147-85359648,Stable,Closing,Closing,23,Ccnh,-169739,,,,,,,,,,
7,72215728,72216229,chr7-72215728-72216229,Stable,Closing,Closing,23,Mctp2,-137898,,,,,,,,,,
17,12586826,12587327,chr17-12586826-12587327,Stable,Closing,Closing,23,Gm7162,232492,,,,,,,,,,
12,95482006,95482507,chr12-95482006-95482507,Stable,Closing,Closing,23,Flrt2,209719,,,,,,,,,,
10,88631444,88631945,chr10-88631444-88631945,Stable,Closing,Closing,23,Utp20,114662,,,,,,,,,,
3,122689760,122690261,chr3-122689760-122690261,Stable,Closing,Closing,23,Pde5a,38686,,,,,,,,,,
15,67295675,67296432,chr15-67295675-67296432,Stable,Closing,Closing,23,St3gal1,-192800,,,,,,,,,,
2,162897207,162897708,chr2-162897207-162897708,Stable,Closing,Closing,23,Mybl2,156979,,,,,,,,,,
18,67374926,67375427,chr18-67374926-67375427,Stable,Closing,Closing,23,Impa2,-85740,,,,,,,,,,
19,34731278,34731779,chr19-34731278-34731779,Stable,Closing,Closing,23,Kif20b,190582,,,,,,,,,,
5,117134633,117135134,chr5-117134633-117135134,Stable,Closing,Closing,23,Rfc5,242969,,,,,,,,,,
2,110528010,110528511,chr2-110528010-110528511,Stable,Closing,Closing,23,Slc5a12,68787,,,Muc15,192829,,,,,,
1,20620459,20620960,chr1-20620459-20620960,Stable,Closing,Closing,23,Mcm3,182008,,,,,,,,,,
5,151426542,151427043,chr5-151426542-151427043,Stable,Closing,Closing,23,Rfc3,215713,,,,,,,,,,
2,105027202,105027703,chr2-105027202-105027703,Stable,Closing,Closing,23,Eif3m,-27546,,,,,,,,,,
18,66472916,66473417,chr18-66472916-66473417,Stable,Closing,Closing,23,Pmaip1,-14383,,,,,,,,,,
2,84410069,84410570,chr2-84410069-84410570,Stable,Closing,Closing,23,Tfpi,22285,,,,,,,,,,
2,24899272,24899773,chr2-24899272-24899773,Stable,Closing,Closing,23,Gm13370,86211,,,,,,,,,,
2,163663876,163664377,chr2-163663876-163664377,Stable,Closing,Closing,23,Ada,62207,,,,,,,,,,
7,120998847,120999441,chr7-120998847-120999441,Stable,Closing,Closing,23,Polr3e,-81103,,,,,,,,,,
1,45152644,45153145,chr1-45152644-45153145,Stable,Closing,Closing,23,Col3a1,158393,,,,,,,,,,
10,93799840,93800341,chr10-93799840-93800341,Stable,Closing,Closing,23,Snrpf,-216811,,,,,,,,,,
1,34502946,34503447,chr1-34502946-34503447,Stable,Closing,Closing,23,Gm3052,-87896,,,,,,,,,,
15,85188185,85188686,chr15-85188185-85188686,Stable,Closing,Closing,23,Fbln1,17263,,,,,,,,,,
13,32964059,32964560,chr13-32964059-32964560,Stable,Closing,Closing,23,Serpinb1a,-121967,,,,,,,,,,
2,6379822,6380323,chr2-6379822-6380323,Stable,Closing,Closing,23,Celf2,159371,,,,,,,,,,
18,12785383,12785884,chr18-12785383-12785884,Stable,Closing,Closing,23,Osbpl1a,-30069,,,,,,,,,,
15,58323921,58324422,chr15-58323921-58324422,Stable,Closing,Closing,23,Atad2,-229877,,,,,,,,,,
15,67227687,67228188,chr15-67227687-67228188,Stable,Closing,Closing,23,St3gal1,-124812,,,,,,,,,,
19,53064498,53064999,chr19-53064498-53064999,Stable,Closing,Closing,23,Add3,75444,,,,,,,,,,
7,80554333,80554834,chr7-80554333-80554834,Stable,Closing,Closing,23,Blm,-99600,,,,,,,,,,
6,126755947,126756448,chr6-126755947-126756448,Stable,Closing,Closing,23,Rad51ap1,166602,,,,,,,,,,
16,89825872,89826373,chr16-89825872-89826373,Stable,Closing,Closing,23,Tiam1,-38761,,,,,,,,,,
12,95789371,95789872,chr12-95789371-95789872,Stable,Closing,Closing,23,Flrt2,-97145,,,,,,,,,,
11,32075126,32075627,chr11-32075126-32075627,Stable,Closing,Closing,23,Mpg,150878,,,,,,,,,,
7,72110536,72111037,chr7-72110536-72111037,Stable,Closing,Closing,23,Mctp2,-32706,,,,,,,,,,
6,72868661,72869162,chr6-72868661-72869162,Stable,Closing,Closing,23,Tmsb10,88185,,,,,,,,,,
12,95501359,95501860,chr12-95501359-95501860,Stable,Closing,Closing,23,Flrt2,190366,,,,,,,,,,
11,62119741,62120242,chr11-62119741-62120242,Stable,Closing,Closing,23,Adora2b,128742,,,Specc1,-162978,,,,,,
11,61970834,61971335,chr11-61970834-61971335,Stable,Closing,Closing,23,Specc1,-14071,,,,,,,,,,
10,88849914,88850415,chr10-88849914-88850415,Stable,Closing,Closing,23,Utp20,-103307,,,,,,,,,,
14,75937770,75938271,chr14-75937770-75938271,Stable,Closing,Closing,23,Tpt1,-92677,,,,,,,,,,
10,97726032,97726533,chr10-97726032-97726533,Stable,Closing,Closing,23,Kera,-119153,,,,,,,,,,
3,10151451,10151952,chr3-10151451-10151952,Stable,Closing,Closing,23,Fabp5,-138903,,,,,,,,,,
3,59441454,59441955,chr3-59441454-59441955,Stable,Closing,Closing,23,Igsf10,-124719,,,,,,,,,,
2,110632662,110633163,chr2-110632662-110633163,Stable,Closing,Closing,23,Slc5a12,-35364,,,Muc15,88177,,,,,,
2,102805632,102806133,chr2-102805632-102806133,Stable,Closing,Closing,23,Cd44,5008,,,,,,,,,,
13,52994328,52994829,chr13-52994328-52994829,Stable,Closing,Closing,23,Ror2,114483,,,,,,,,,,
5,21543247,21543965,chr5-21543247-21543965,Stable,Closing,Closing,23,Lrrc17,0,,,,,,,,,,
9,31118472,31118973,chr9-31118472-31118973,Stable,Closing,Closing,23,St14,-29070,,,,,,,,,,
16,87517551,87518052,chr16-87517551-87518052,Stable,Closing,Closing,23,Cct8,-34225,,,,,,,,,,
2,154803384,154803885,chr2-154803384-154803885,Stable,Closing,Closing,23,E2f1,-243977,,,,,,,,,,
19,34761940,34762820,chr19-34761940-34762820,Stable,Closing,Closing,23,Kif20b,159541,,,,,,,,,,
5,5648784,5649285,chr5-5648784-5649285,Stable,Closing,Closing,23,Steap2,15544,,,Gm8773,-74985,,,,,,
3,28729332,28729833,chr3-28729332-28729833,Stable,Closing,Closing,23,Rpl22l1,75603,,,,,,,,,,
16,46114459,46114960,chr16-46114459-46114960,Stable,Closing,Closing,23,Gm4737,38025,,,,,,,,,,
8,117022398,117022899,chr8-117022398-117022899,Stable,Closing,Closing,23,Cenpn,-100668,,,Cmc2,-133713,,,,,,
19,34715595,34716096,chr19-34715595-34716096,Stable,Closing,Closing,23,Kif20b,206265,,,,,,,,,,
16,49812938,49813660,chr16-49812938-49813660,Stable,Closing,Closing,23,Cd47,-12405,,,,,,,,,,
6,115943584,115944085,chr6-115943584-115944085,Stable,Closing,Closing,23,Rpl32,-138079,,,,,,,,,,
16,38612658,38613159,chr16-38612658-38613159,Stable,Closing,Closing,23,Arhgap31,-14318,,,Cd80,-157097,,,,,,
12,95503797,95504298,chr12-95503797-95504298,Stable,Closing,Closing,23,Flrt2,187928,,,,,,,,,,
13,85359796,85360604,chr13-85359796-85360604,Stable,Closing,Closing,23,Ccnh,-170388,,,,,,,,,,
3,122888355,122888856,chr3-122888355-122888856,Stable,Closing,Closing,23,Pde5a,-159408,,,,,,,,,,
7,72080634,72081135,chr7-72080634-72081135,Stable,Closing,Closing,23,Mctp2,-2804,,,,,,,,,,
13,108335093,108335594,chr13-108335093-108335594,Stable,Closing,Closing,23,Depdc1b,-18761,,,,,,,,,,
10,119946664,119947165,chr10-119946664-119947165,Stable,Closing,Closing,23,Helb,136443,,,,,,,,,,
13,53298835,53299336,chr13-53298835-53299336,Stable,Closing,Closing,23,Ror2,-189523,,,,,,,,,,
6,124693318,124693819,chr6-124693318-124693819,Stable,Closing,Closing,23,Cdca3,135728,,,,,,,,,,
1,45269313,45269814,chr1-45269313-45269814,Stable,Stable,Closing,26,Col3a1,41724,,,,,,,,,,
2,151904133,151904634,chr2-151904133-151904634,Stable,Stable,Closing,26,Fam110a,64764,,,,,,,,,,
14,76569452,76569953,chr14-76569452-76569953,Stable,Closing,Closing,23,Tsc22d1,-154491,,,,,,,,,,
2,36243926,36244427,chr2-36243926-36244427,Stable,Closing,Closing,23,Ptgs1,-13500,,,Lhx6,-161973,,,,,,
3,10173722,10174223,chr3-10173722-10174223,Stable,Closing,Closing,23,Fabp5,-161174,,,,,,,,,,
2,110443720,110444221,chr2-110443720-110444221,Stable,Closing,Closing,23,Slc5a12,153077,,,,,,,,,,
3,90605944,90606650,chr3-90605944-90606650,Stable,Closing,Closing,23,S100a6,6232,,,,,,,,,,
11,98763055,98763556,chr11-98763055-98763556,Stable,Closing,Closing,23,Cdc6,144245,,,Top2a,229387,,,,,,
2,125303966,125304467,chr2-125303966-125304467,Stable,Closing,Closing,23,Fbn1,-3372,,,,,,,,,,
16,30096413,30096914,chr16-30096413-30096914,Stable,Closing,Closing,23,Lrrc15,172388,,,,,,,,,,
11,23945951,23946452,chr11-23945951-23946452,Stable,Stable,Closing,26,Rel,-209104,,,,,,,,,,
5,3462833,3463334,chr5-3462833-3463334,Stable,Closing,Closing,23,Gm15772,-226402,,,,,,,,,,
10,4210424,4210925,chr10-4210424-4210925,Stable,Closing,Closing,23,Akap12,55455,,,,,,,,,,
5,122436361,122436862,chr5-122436361-122436862,Stable,Closing,Closing,23,Hvcn1,-229557,,,,,,,,,,
14,44015993,44016494,chr14-44015993-44016494,Stable,Closing,Closing,23,Gm8113,-90603,,,,,,,,,,
5,146923498,146923999,chr5-146923498-146923999,Stable,Closing,Closing,23,Rpl21,-90608,,,,,,,,,,
18,67295251,67295752,chr18-67295251-67295752,Stable,Closing,Closing,23,Impa2,-6065,,,,,,,,,,
1,107501980,107502481,chr1-107501980-107502481,Stable,Closing,Closing,23,Serpinb7,-102325,,,,,,,,,,
13,53205017,53205876,chr13-53205017-53205876,Stable,Closing,Closing,23,Ror2,-95705,,,,,,,,,,
2,127007453,127007954,chr2-127007453-127007954,Stable,Closing,Closing,23,Blvra,62711,,,Ncaph,95855,Sppl2a,-117062,,,,
11,49083223,49083724,chr11-49083223-49083724,Stable,Closing,Closing,23,Ifi47,-6636,,,Tgtp1,-97896,,,,,,
12,112576579,112577080,chr12-112576579-112577080,Stable,Closing,Closing,23,Siva1,67599,,,Ahnak2,195114,Cdca4,243149,,,,
5,144904342,144904843,chr5-144904342-144904843,Stable,Closing,Closing,23,Trrap,-136610,,,Arpc1b,209372,,,,,,
1,183320747,183321248,chr1-183320747-183321248,Stable,Closing,Closing,23,Aida,-24157,,,,,,,,,,
14,76467861,76468965,chr14-76467861-76468965,Stable,Closing,Closing,23,Tsc22d1,-52900,,,,,,,,,,
12,104235619,104236120,chr12-104235619-104236120,Stable,Closing,Closing,23,Serpina3g,125,,,Serpina3i,27002,,,,,,
18,61317189,61317690,chr18-61317189-61317690,Stable,Stable,Closing,26,Ppargc1b,-19053,,,,,,,,,,
2,172776353,172776854,chr2-172776353-172776854,Stable,Stable,Closing,26,Tfap2c,-226760,,,,,,,,,,
5,110181732,110182233,chr5-110181732-110182233,Stable,Closing,Closing,23,Pole,104073,,,,,,,,,,
16,38654230,38654731,chr16-38654230-38654731,Stable,Stable,Closing,26,Arhgap31,-55890,,,Cd80,-198669,,,,,,
5,113627992,113628493,chr5-113627992-113628493,Stable,Closing,Closing,23,Coro1c,213943,,,,,,,,,,
15,68218052,68218553,chr15-68218052-68218553,Stable,Closing,Closing,23,Gm10240,91266,,,,,,,,,,
13,90992927,90993428,chr13-90992927-90993428,Stable,Closing,Closing,23,Rps23,-69969,,,,,,,,,,
5,16764898,16765399,chr5-16764898-16765399,Stable,Closing,Closing,23,Hgf,-211403,,,,,,,,,,
5,21496390,21496891,chr5-21496390-21496891,Stable,Closing,Closing,23,Lrrc17,46668,,,,,,,,,,
1,71800719,71801646,chr1-71800719-71801646,Stable,Closing,Closing,23,Fn1,-215199,,,,,,,,,,
16,15386132,15386633,chr16-15386132-15386633,Stable,Closing,Closing,23,Mcm4,237264,,,,,,,,,,
10,38979358,38979859,chr10-38979358-38979859,Stable,Closing,Closing,23,Lama4,-13843,,,Gm6477,218679,,,,,,
10,97535552,97536053,chr10-97535552-97536053,Stable,Closing,Closing,23,Kera,70826,,,,,,,,,,
13,112420480,112420981,chr13-112420480-112420981,Stable,Closing,Closing,23,Il6st,43089,,,,,,,,,,
15,102167525,102168026,chr15-102167525-102168026,Stable,Closing,Closing,23,Eif4b,-93752,,,Espl1,128240,Aaas,170226,,,,
6,22319943,22320444,chr6-22319943-22320444,Stable,Closing,Closing,23,Wnt16,-31716,,,,,,,,,,
2,132340268,132340769,chr2-132340268-132340769,Stable,Closing,Closing,23,Pcna,-91106,,,,,,,,,,
11,115467202,115467703,chr11-115467202-115467703,Stable,Closing,Closing,23,Nup85,96731,,,,,,,,,,
8,80908268,80908769,chr8-80908268-80908769,Stable,Closing,Closing,23,Gab1,-143830,,,,,,,,,,
5,21486886,21487523,chr5-21486886-21487523,Stable,Closing,Closing,23,Lrrc17,56036,,,,,,,,,,
